timestamp,red,green,IR
96523,136259,29093,158484
96534,136249,29110,158479
96543,136269,29120,158489
96553,136268,29121,158508
96563,136250,29118,158502
96574,136267,29093,158507
96583,136252,29120,158517
96593,136269,29105,158513
96603,136231,29116,158521
96613,136251,29113,158523
96623,136268,29111,158498
96633,136257,29099,158515
96643,136261,29116,158501
96654,136271,29107,158518
96664,136279,29100,158543
96673,136276,29117,158532
96683,136285,29095,158516
96693,136273,29096,158520
96704,136282,29090,158528
96713,136277,29089,158538
96723,136268,29080,158557
96733,136265,29085,158547
96744,136264,29087,158573
96753,136250,29072,158538
96763,136239,29073,158568
96773,136249,29091,158558
96784,136213,29085,158582
96793,136210,29083,158584
96803,136228,29078,158588
96814,136218,29081,158596
96824,136214,29075,158605
96833,136229,29072,158610
96843,136224,29073,158610
96853,136230,29074,158612
96864,136227,29053,158610
96874,136218,29079,158609
96882,136218,29069,158601
96897,136226,29044,158606
96903,136229,29069,158608
96913,136202,29079,158606
96923,136219,29065,158617
96933,136226,29059,158604
96943,136222,29066,158621
96953,136211,29067,158597
96962,136220,29044,158612
96973,136219,29058,158613
96983,136220,29062,158592
96994,136197,29059,158612
97003,136225,29053,158603
97013,136193,29049,158614
97023,136208,29050,158598
97033,136186,29035,158601
97042,136189,29049,158579
97053,136162,29043,158584
97063,136171,29044,158579
97073,136157,29051,158577
97083,136139,29043,158580
97093,136171,29040,158566
97103,136150,29040,158581
97113,136145,29034,158572
97123,136153,29013,158573
97132,136165,29035,158569
97143,136144,29024,158563
97153,136150,29016,158562
97163,136153,29018,158570
97172,136137,29025,158563
97183,136149,29023,158560
97193,136141,29024,158554
97203,136142,29031,158553
97212,136135,29019,158557
97222,136103,29008,158571
97232,136128,29016,158591
97243,136098,29006,158589
97252,136107,29017,158597
97262,136098,29007,158607
97272,136103,29003,158580
97283,136095,29010,158620
97292,136100,29003,158605
97302,136106,29003,158603
97312,136096,29006,158585
97323,136086,28998,158576
97333,136088,29007,158577
97342,136100,28997,158566
97353,136095,28996,158551
97362,136076,28993,158528
97373,136076,28993,158551
97382,136050,28979,158524
97393,136069,28982,158540
97403,136071,28980,158511
97413,136054,28985,158528
97422,136043,28989,158530
97433,136044,28987,158538
97443,136047,28989,158547
97453,136038,28980,158541
97462,136054,28980,158531
97472,136018,28979,158535
97482,136036,28980,158543
97492,136015,28978,158519
97502,136038,28972,158512
97512,136027,28979,158528
97522,136036,28973,158507
97532,136034,28976,158517
97542,136044,28957,158495
97552,136030,28979,158486
97563,136060,28969,158488
97573,136052,28972,158454
97583,136039,28986,158454
97592,136044,28980,158424
97603,136022,28978,158437
97613,136042,28964,158411
97623,136021,28968,158438
97632,136049,28961,158425
97643,136027,28963,158441
97653,136037,28978,158453
97663,136010,28977,158445
97677,136031,28969,158478
97682,136036,28950,158470
97692,136003,28965,158470
97703,136019,28967,158489
97712,135999,28971,158493
97722,136023,28967,158490
97732,136030,28958,158488
97742,136021,28960,158516
97751,136011,28945,158507
97762,136002,28950,158531
97772,136002,28946,158507
97782,136000,28946,158525
97792,136000,28937,158529
97801,136003,28947,158530
97812,135989,28934,158525
97823,136007,28945,158517
97833,135996,28935,158527
97842,136012,28936,158516
97852,135993,28942,158529
97862,135998,28943,158522
97873,136006,28951,158539
97881,135979,28936,158536
97892,135968,28935,158532
97902,135998,28930,158533
97913,135994,28918,158522
97922,135994,28928,158537
97932,135995,28930,158536
97942,135991,28930,158528
97952,136015,28924,158513
97961,136000,28932,158543
97971,136007,28933,158519
97982,135989,28908,158526
97992,135989,28931,158533
98002,136001,28905,158529
98012,135989,28916,158519
98022,135991,28925,158543
98032,136003,28917,158500
98042,135991,28911,158525
98052,135979,28907,158516
98062,135996,28923,158540
98072,135967,28915,158544
98082,135992,28913,158551
98091,135987,28919,158549
98102,135958,28917,158571
98112,135969,28913,158548
98122,135971,28903,158552
98132,135958,28902,158555
98141,135952,28904,158555
98152,135942,28913,158569
98162,135941,28901,158554
98172,135924,28892,158562
98182,135934,28898,158540
98192,135937,28885,158549
98202,135935,28897,158559
98211,135939,28895,158558
98238,135937,28890,158552
98242,135930,28892,158552
98251,135926,28904,158554
98261,135921,28895,158545
98271,135933,28886,158538
98282,135959,28892,158531
98291,135943,28895,158488
98302,135936,28902,158510
98312,135954,28896,158494
98322,135964,28875,158517
98332,135939,28896,158497
98341,135946,28878,158489
98351,135924,28897,158506
98361,135932,28889,158503
98377,135934,28885,158506
98381,135942,28882,158492
98391,135954,28891,158496
98402,135917,28874,158511
98412,135905,28881,158486
98421,135939,28891,158476
98431,135933,28887,158482
98441,135918,28888,158484
98452,135924,28873,158468
98461,135918,28878,158471
98471,135916,28879,158481
98482,135932,28870,158480
98492,135905,28882,158481
98518,135927,28881,158476
98521,135907,28879,158483
98531,135906,28879,158522
98541,135932,28868,158480
98557,135918,28869,158481
98561,135911,28877,158491
98571,135881,28864,158470
98597,135894,28866,158491
98642,135879,28867,158492
98652,135880,28854,158479
98662,135859,28853,158461
98671,135886,28858,158452
98681,135873,28860,158432
98691,135906,28870,158435
98701,135882,28867,158432
98710,135900,28860,158409
98720,135890,28865,158400
98737,135903,28842,158395
98742,135905,28851,158418
98757,135886,28873,158405
98761,135889,28857,158404
98771,135870,28858,158381
98782,135885,28853,158383
98791,135886,28845,158373
98801,135869,28855,158396
98817,135889,28877,158391
98821,135879,28846,158392
98831,135940,28854,158382
98841,135869,28847,158392
98851,135884,28847,158390
98861,135887,28852,158395
98871,135877,28843,158402
98881,135882,28861,158393
98891,135864,28849,158413
98901,135891,28854,158426
98916,135885,28852,158425
98920,135897,28842,158407
98930,135898,28865,158406
98941,135862,28860,158419
98958,135879,28830,158418
98960,135884,28839,158411
98970,135836,28848,158432
98981,135893,28841,158403
98991,135867,28846,158381
99001,135871,28856,158408
99011,135879,28851,158377
99021,135861,28857,158395
99031,135856,28836,158399
99041,135856,28842,158409
99051,135855,28858,158407
99061,135882,28847,158386
99077,135872,28848,158390
99081,135867,28854,158409
99091,135832,28834,158386
99118,135871,28828,158399
99121,135857,28846,158397
99130,135836,28849,158429
99140,135856,28845,158410
99151,135869,28831,158393
99161,135873,28834,158404
99170,135863,28841,158379
99181,135829,28832,158379
99191,135856,28841,158410
99201,135862,28835,158394
99210,135827,28836,158402
99220,135853,28833,158404
99237,135857,28827,158404
99241,135853,28826,158411
99250,135836,28838,158420
99260,135853,28830,158407
99271,135851,28827,158390
99281,135842,28822,158396
99291,135839,28824,158413
99300,135825,28829,158420
99311,135851,28833,158429
99321,135825,28831,158425
99359,135814,28810,158412
99362,135824,28822,158413
99371,135809,28830,158406
99380,135817,28816,158411
99391,135803,28822,158414
99401,135815,28834,158416
99411,135832,28835,158401
99420,135815,28822,158406
99430,135812,28824,158401
99440,135823,28821,158398
99451,135807,28809,158394
99460,135836,28830,158398
99477,135826,28824,158372
99480,135826,28818,158385
99490,135824,28824,158410
99500,135813,28827,158371
99510,135796,28818,158399
99520,135824,28823,158391
99530,135794,28812,158399
99541,135818,28813,158389
99556,135798,28812,158395
99560,135818,28819,158395
99571,135762,28811,158390
99581,135799,28831,158387
99590,135783,28818,158392
99600,135802,28795,158408
99610,135780,28824,158403
99621,135792,28816,158418
99630,135803,28817,158401
99640,135790,28818,158426
99651,135807,28818,158423
99661,135801,28820,158409
99676,135797,28812,158404
99680,135786,28813,158430
99691,135746,28802,158399
