timestamp,red,green,ir
21597,237055,44461,262143
21607,237067,44474,262143
21617,237049,44470,262143
21626,237062,44477,262143
21637,237071,44469,262143
21647,237077,44466,262143
21657,237076,44454,262143
21667,237059,44472,262143
21677,237084,44481,262143
21687,237079,44452,262143
21697,237071,44465,262143
21707,237100,44459,262143
21717,237094,44452,262143
21727,237094,44458,262143
21737,237104,44461,262143
21748,237088,44461,262143
21756,237087,44460,262143
21767,237106,44452,262143
21777,237081,44474,262143
21787,237101,44453,262143
21796,237080,44454,262143
21807,237107,44462,262143
21817,237103,44461,262143
21827,237106,44465,262143
21836,237111,44458,262143
21847,237105,44458,262143
21857,237100,44467,262143
21867,237103,44481,262143
21876,237089,44465,262143
21887,237087,44468,262143
21896,237101,44470,262143
21907,237094,44461,262143
21917,237117,44471,262143
21927,237105,44464,262143
21937,237098,44471,262143
21947,237099,44476,262143
21957,237104,44465,262143
21966,237094,44472,262143
21977,237089,44467,262143
21987,237107,44471,262143
21997,237104,44480,262143
22006,237095,44456,262143
22017,237099,44473,262143
22027,237109,44465,262143
22037,237106,44469,262143
22046,237095,44462,262143
22057,237101,44461,262143
22067,237106,44467,262143
22077,237087,44458,262143
22086,237109,44465,262143
22096,237105,44463,262143
22106,237114,44465,262143
22117,237105,44461,262143
22126,237118,44459,262143
22136,237115,44461,262143
22147,237102,44463,262143
22157,237116,44462,262143
22166,237118,44458,262143
22176,237126,44453,262143
22187,237140,44442,262143
22197,237126,44440,262143
22207,237133,44445,262143
22216,237138,44430,262143
22226,237116,44443,262143
22237,237144,44450,262143
22247,237155,44451,262143
22256,237151,44439,262143
22266,237149,44456,262143
22276,237151,44430,262143
22286,237149,44449,262143
22296,237161,44435,262143
22307,237158,44444,262143
22317,237164,44439,262143
22327,237175,44431,262143
22336,237161,44445,262143
22346,237150,44434,262143
22357,237169,44455,262143
22367,237158,44431,262143
22376,237152,44430,262143
22386,237151,44441,262143
22396,237149,44444,262143
22407,237154,44442,262143
22416,237163,44445,262143
22426,237147,44445,262143
22437,237143,44454,262143
22447,237156,44432,262143
22457,237154,44454,262143
22466,237168,44440,262143
22476,237175,44441,262143
22486,237151,44430,262143
22497,237172,44434,262143
22506,237149,44416,262143
22516,237158,44453,262143
22526,237162,44432,262143
22536,237157,44418,262143
22545,237160,44431,262143
22556,237174,44425,262143
22567,237165,44436,262143
22577,237147,44438,262143
22586,237173,44445,262143
22596,237143,44433,262143
22606,237149,44431,262143
22617,237151,44438,262143
22626,237155,44433,262143
