Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
1,107241,106997,0.586,-0.185,-0.741,60,0,OTHER
2,203632,121883,0.595,0.029,-0.795,60,0,OTHER
3,185157,106441,0.563,0.141,-0.797,60,0,OTHER
4,173937,100692,0.518,0.21,-0.79,60,0,OTHER
5,167585,97288,0.486,0.233,-0.776,60,0,OTHER
6,164530,96417,0.445,0.233,-0.791,60,0,OTHER
7,163966,98922,0.425,0.231,-0.813,60,0,OTHER
8,164187,99696,0.424,0.219,-0.836,60,0,OTHER
9,165346,99694,0.433,0.192,-0.885,60,0,OTHER
10,165178,99455,0.439,0.156,-0.908,60,0,OTHER
11,164349,99107,0.422,0.12,-0.917,60,0,OTHER
12,163231,99184,0.409,0.098,-0.923,60,0,OTHER
13,162924,99637,0.41,0.086,-0.92,60,0,OTHER
14,162628,99670,0.413,0.072,-0.909,60,0,OTHER
15,162315,99598,0.406,0.062,-0.897,60,0,OTHER
16,162792,99669,0.397,0.057,-0.898,60,0,OTHER
17,163139,99779,0.411,0.056,-0.904,60,0,OTHER
18,164435,100481,0.427,0.058,-0.916,60,0,OTHER
19,163965,100898,0.41,0.053,-0.909,60,0,OTHER
20,162038,101622,0.399,0.052,-0.916,60,0,OTHER
21,158688,101933,0.409,0.063,-0.938,60,0,OTHER
22,159670,101924,0.405,0.079,-0.945,60,0,OTHER
23,161104,103462,0.404,0.084,-0.961,60,0,OTHER
24,161811,103298,0.417,0.089,-0.986,60,0,OTHER
25,162178,102709,0.389,0.083,-0.986,60,0,OTHER
26,161962,102623,0.35,0.071,-0.967,60,0,OTHER
27,161099,102666,0.35,0.08,-0.959,60,0,OTHER
28,160716,102478,0.34,0.093,-0.941,60,0,OTHER
29,161268,102519,0.319,0.096,-0.927,60,0,OTHER
30,161872,102670,0.322,0.097,-0.934,60,0,OTHER
31,162472,102616,0.339,0.1,-0.947,60,0,OTHER
32,163204,102658,0.344,0.1,-0.953,60,0,OTHER
33,163413,102781,0.349,0.102,-0.963,60,0,OTHER
34,163784,102763,0.355,0.107,-0.972,60,0,OTHER
35,164287,102764,0.36,0.111,-0.977,60,0,OTHER
36,164733,102833,0.363,0.113,-0.979,60,0,OTHER
37,165151,102891,0.366,0.115,-0.977,60,0,OTHER
38,165421,102914,0.367,0.116,-0.973,60,0,OTHER
39,165643,102979,0.366,0.116,-0.968,60,0,OTHER
40,165793,103044,0.364,0.116,-0.966,60,0,OTHER
41,166029,103074,0.364,0.116,-0.964,60,0,OTHER
42,166228,103124,0.363,0.117,-0.96,60,0,OTHER
43,166466,103159,0.362,0.117,-0.958,60,0,OTHER
44,166526,103174,0.362,0.118,-0.958,60,0,OTHER
45,166497,103185,0.362,0.118,-0.959,60,0,REST
46,166670,103274,0.362,0.119,-0.96,60,0,REST
47,166740,103324,0.362,0.119,-0.964,60,0,REST
48,166790,103284,0.361,0.12,-0.965,60,0,REST
49,166495,103176,0.357,0.12,-0.966,60,0,REST
50,166825,103152,0.353,0.119,-0.97,60,0,REST
51,166994,103102,0.35,0.118,-0.971,60,0,REST
52,166879,103057,0.349,0.118,-0.973,60,0,REST
53,166351,103022,0.352,0.118,-0.972,60,0,REST
54,165655,102959,0.354,0.118,-0.969,60,0,REST
