timestamp,Green1 Count,Green2 Count
1,107309,107015
2,193538,172239
3,176219,155679
4,171434,151493
5,166364,147070
6,166265,147011
7,166180,146957
8,166120,146910
9,166075,146853
10,166034,146818
11,165994,146759
12,165979,146708
13,165956,146651
14,165965,146602
15,165982,146534
16,166001,146495
17,166005,146453
18,166006,146398
19,165912,146289
20,165751,146150
21,165624,146019
22,165541,145907
23,165456,145809
24,165415,145708
25,165387,145639
26,165345,145543
27,165285,145522
28,165222,145472
29,165189,145432
30,165167,145381
31,165160,145334
32,165159,145291
33,165157,145262
34,165156,145218
35,165125,145115
36,165045,144985
37,164955,144879
38,164860,144716
39,164788,144614
40,164749,144542
41,164726,144443
42,164737,144360
43,164746,144270
44,164758,144207
45,164761,144137
46,164787,144068
47,164823,144010
48,164843,143950
49,164869,143909
50,164878,143873
51,164838,143850
52,164692,143750
53,164542,143640
54,164428,143502
55,164322,143370
56,164289,143268
57,164269,143189
58,164258,143119
59,164246,143043
60,164234,142975
61,164238,142908
62,164246,142829
63,164250,142764
64,164268,142743
65,164292,142690
66,164313,142652
67,164360,142597
68,164383,142520
69,164317,142373
70,164208,142212
71,164101,142076
72,163984,141959
73,163902,141867
74,163850,141793
75,163803,141725
76,163776,141683
77,163747,141602
78,163722,141534
79,163686,141458
80,163666,141415
81,163661,141364
82,163654,141315
83,163658,141268
84,163668,141215
85,163654,141163
86,163579,141056
87,163452,140906
88,163317,140763
89,163221,140639
90,163132,140577
91,163066,140413
92,163019,140342
93,162988,140267
94,162941,140187
95,162895,140122
96,162855,140045
97,162836,139985
98,162778,139922
99,162790,139865
100,162779,139812
101,162776,139752
102,162778,139683
103,162748,139617
104,162613,139477
105,162489,139308
106,162367,139234
107,162264,139101
108,162184,138994
109,162153,138908
110,162115,138828
111,162057,138746
112,161997,138674
113,161960,138605
114,161915,138544
115,161869,138498
116,161846,138453
117,161819,138409
118,161786,138342
119,161784,138330
120,161770,138294
121,161735,138243
122,161603,138118
123,161435,137996
124,161263,137877
125,161124,137795
126,160987,137716
127,160890,137655
128,160791,137606
129,160677,137588
130,160590,137517
131,160513,137476
132,160449,137431
133,160431,137368
134,160429,137300
135,160428,137229
136,160430,137196
137,160422,137166
138,160402,137133
139,160307,137059
140,160150,136947
141,159976,136832
142,159814,136742
143,159704,136677
144,159610,136598
145,159549,136564
146,159500,136498
147,159448,136428
148,159412,136373
149,159384,136315
150,159381,136276
151,159374,136239
152,159378,136200
