timestamp,Green1 Count,Green2 Count
1,107241,106997
2,203632,121883
3,185157,106441
4,173937,100692
5,167585,97288
6,164530,96417
7,163966,98922
8,164187,99696
9,165346,99694
10,165178,99455
11,164349,99107
12,163231,99184
13,162924,99637
14,162628,99670
15,162315,99598
16,162792,99669
17,163139,99779
18,164435,100481
19,163965,100898
20,162038,101622
21,158688,101933
22,159670,101924
23,161104,103462
24,161811,103298
25,162178,102709
26,161962,102623
27,161099,102666
28,160716,102478
29,161268,102519
30,161872,102670
31,162472,102616
32,163204,102658
33,163413,102781
34,163784,102763
35,164287,102764
36,164733,102833
37,165151,102891
38,165421,102914
39,165643,102979
40,165793,103044
41,166029,103074
42,166228,103124
43,166466,103159
44,166526,103174
45,166497,103185
46,166670,103274
47,166740,103324
48,166790,103284
49,166495,103176
50,166825,103152
51,166994,103102
52,166879,103057
53,166351,103022
54,165655,102959
55,165392,102899
56,165565,102871
57,166348,102834
58,166822,102796
59,167110,102781
60,167162,102778
61,167273,102786
62,167390,102725
63,167368,102641
64,167409,102559
65,167372,102491
66,167128,102416
67,167110,102399
68,167266,102387
69,167317,102346
70,167345,102322
71,167518,102373
72,167539,102356
73,167780,102286
74,167838,102282
75,167846,102343
76,167632,102286
77,167395,102186
78,167228,102082
79,167202,101966
80,166973,101887
81,166805,101855
82,166685,101820
83,166467,101767
84,166347,101731
85,166317,101703
86,166309,101677
87,166317,101670
88,166333,101675
89,166615,101664
90,166683,101633
91,166464,101517
92,166201,101362
93,166135,101225
94,167025,100817
95,167251,99259
96,166266,98999
97,166221,98498
98,166698,97878
99,166964,97348
100,167019,96861
101,167307,96468
102,167847,96177
103,168427,95927
104,169032,95772
105,169200,95663
106,169041,95625
107,168783,95616
108,168312,95661
109,167912,95731
110,167589,95776
111,167074,95744
112,166454,95687
113,166193,95625
114,166086,95625
115,166068,95662
116,165757,95436
117,165302,95114
118,165087,94867
119,164963,94591
120,164756,94277
121,164602,94033
122,164536,93870
123,164455,93705
124,164449,93570
125,164497,93484
126,164617,93400
127,164666,93340
128,164771,93293
129,164910,93289
130,164948,93247
131,164960,93229
132,165079,93241
133,165241,93236
134,165283,93224
135,165425,93246
136,165714,93341
137,166007,93547
138,166152,93759
139,166010,93932
140,165766,94124
141,165531,94311
142,165197,94442
143,165002,94594
144,164936,94747
145,164691,94852
146,164483,94955
147,164262,95008
148,163777,94954
149,163312,94920
150,162884,94918
151,162604,94938
152,162408,94971
153,162187,95012
154,161986,95060
155,161894,95146
156,161898,95243
157,161724,95323
158,161718,95423
159,161757,95517
160,161852,95621
161,161893,95649
162,161729,95619
163,161705,95643
164,161852,95719
165,161863,95767
166,161790,95842
167,161855,95892
168,161786,95931
169,161717,95984
170,161800,96061
171,161993,96153
172,162274,96244
173,162401,96329
174,162443,96419
175,162355,96470
176,162244,96452
177,162040,96399
178,161874,96414
179,161741,96416
180,161817,96445
181,161905,96517
182,161812,96536
183,161852,96580
184,161866,96629
185,161940,96699
186,162034,96766
187,162036,96812
188,162088,96864
189,162191,96937
190,162165,96970
191,161995,96953
192,161770,96924
193,161651,96926
194,161510,96931
195,161605,96996
196,161728,97045
197,161949,97095
198,162116,97201
199,162071,97267
200,162084,97296
201,162140,97357
202,162184,97407
203,162217,97436
204,162264,97497
205,162386,97560
206,162387,97566
207,162205,97499
208,162104,97493
209,162100,97509
210,162062,97509
211,162040,97547
212,162084,97571
213,162105,97581
214,162062,97633
215,161935,97629
216,161917,97677
217,162041,97732
218,162218,97803
219,162338,97865
220,162517,97886
221,162669,97869
222,162732,97838
223,162529,97792
224,162353,97801
225,162274,97830
226,162138,97865
227,162042,97957
228,161890,98013
229,161750,98055
230,161873,98103
231,162036,98128
232,161983,98139
233,162033,98199
234,162001,98258
235,161809,98307
236,161716,98373
237,161566,98444
238,161179,98387
239,160936,98357
240,160914,98340
241,161033,98367
242,161180,98421
243,161308,98467
244,161467,98512
245,161711,98583
246,161778,98616
247,161882,98663
248,162026,98728
249,162113,98765
250,162304,98836
251,162434,98882
252,162614,98933
253,162762,98922
254,162666,98890
255,162518,98882
256,162521,98893
257,162577,98932
258,162642,98966
259,162652,98984
260,162672,99012
261,162681,99040
262,162902,99089
263,163129,99147
264,163154,99181
265,163102,99223
266,163115,99249
267,163099,99287
268,163055,99245
269,163148,99193
270,163568,99191
271,163542,99129
272,163290,99116
273,163133,99122
274,163030,99125
275,163061,99167
276,163090,99194
277,163142,99230
278,163261,99259
279,163589,99318
280,163671,99335
281,163655,99353
282,163684,99387
283,163530,99296
284,163441,99238
285,163624,99270
286,163739,99284
287,163741,99310
288,163596,99318
289,163366,99277
290,163224,99273
291,163173,99272
292,162932,99250
293,162702,99251
294,162482,99259
295,162349,99281
296,162370,99314
297,162299,99294
298,162266,99219
299,162245,99165
300,162440,99166
301,162350,99127
302,162144,99097
303,162213,99062
304,162196,99002
305,162100,98946
306,162220,98930
307,161956,98904
