timestamp,Green1 Count,Green2 Count
1,69210,108508
2,204936,208570
3,223792,191018
4,192088,162799
5,171890,146883
6,166577,143766
7,166246,145089
8,165664,146112
9,164960,147008
10,164558,147010
11,164442,146608
12,164604,146244
13,164892,145739
14,165198,144858
15,165192,144826
16,165215,145002
17,164995,145198
18,164787,145060
19,164698,145005
20,164582,145073
21,164347,145083
22,164027,145001
23,163773,144780
24,163634,144469
25,163597,144248
26,163528,144176
27,163398,144193
28,163298,144203
29,163210,144122
30,163181,143975
31,163146,143753
32,162931,143430
33,162680,143158
34,162431,142919
35,162273,142654
36,162129,142390
37,162002,142243
38,161901,142123
39,161785,142000
40,161685,141902
41,161591,141732
42,161495,141489
43,161451,141299
44,161438,141161
45,161429,141092
46,161403,141027
47,161371,140971
48,161381,140885
49,161313,140776
50,161129,140559
51,160788,140335
52,160429,140113
53,160118,139925
54,159850,139731
55,159624,139554
56,159427,139366
57,159231,139245
58,159015,139118
59,158816,138961
60,158656,138820
61,158504,138699
62,158389,138590
63,158264,138508
64,158170,138420
65,158081,138293
66,158011,138134
67,157965,137963
68,157817,137767
69,157544,137537
70,157267,137305
71,157072,137075
72,156906,136878
73,156846,136703
74,156795,136541
75,156765,136420
76,156719,136303
77,156724,136175
78,156755,136052
79,156803,135994
80,156890,135898
81,156950,135793
82,157042,135756
83,157128,135709
84,157249,135636
85,157393,135540
86,157406,135422
87,157313,135230
88,157142,135061
89,157024,134882
90,156955,134770
91,156940,134624
92,156956,134517
93,156939,134412
94,156949,134367
95,156970,134310
96,157003,134265
97,157059,134264
98,157107,134279
99,157202,134297
100,157272,134329
101,157382,134330
102,157489,134321
103,157599,134303
104,157739,134287
105,157740,134222
106,157656,134101
107,157541,133974
108,157438,133873
109,157389,133824
110,157372,133785
111,157381,133753
112,157434,133746
113,157452,133748
114,157491,133732
115,157564,133732
116,157667,133759
117,157774,133777
118,157878,133824
119,158034,133849
120,158146,133891
121,158296,133903
122,158455,133932
123,158580,133953
124,158620,133953
125,158582,133866
126,158477,133765
127,158440,133658
128,158419,133600
129,158454,133617
130,158505,133579
131,158557,133582
132,158607,133597
133,158667,133598
134,158784,133608
135,158891,133630
136,158997,133673
137,159148,133723
138,159266,133762
139,159416,133806
140,159558,133806
141,159706,133868
142,159839,133888
143,159983,133949
144,160043,133988
145,160005,133967
146,159984,133929
147,159953,133911
148,159956,133924
149,160043,133931
150,160108,133925
151,160193,133948
152,160268,134001
153,160335,134054
154,160436,134129
155,160543,134179
156,160663,134256
157,160780,134340
158,160907,134419
159,161060,134482
160,161195,134526
161,161335,134576
162,161462,134617
163,161581,134657
164,161628,134687
165,161588,134679
166,161565,134667
167,161524,134636
168,161542,134660
169,161583,134662
170,161636,134685
171,161684,134679
172,161737,134741
173,161811,134792
174,161902,134844
175,161987,134895
176,162101,134935
177,162178,134968
178,162286,135015
179,162418,135031
180,162533,135045
181,162672,135054
182,162785,135105
183,162921,135142
184,162967,135167
185,162957,135158
186,162905,135138
187,162885,135114
188,162933,135127
189,162991,135146
190,163089,135195
191,163146,135270
192,163210,135367
193,163266,135451
194,163341,135508
195,163409,135591
196,163479,135707
197,163551,135820
198,163611,135919
199,163704,135998
200,163762,136077
201,163838,136147
202,163891,136198
203,163904,136264
204,163868,136282
205,163756,136282
206,163649,136269
207,163608,136297
208,163554,136305
209,163563,136337
210,163532,136340
211,163509,136386
212,163478,136418
213,163510,136440
214,163527,136452
215,163562,136474
216,163647,136510
217,163708,136561
218,163794,136571
219,163880,136583
220,163970,136560
221,164075,136599
222,164077,136614
223,164028,136593
224,163962,136579
225,163924,136558
226,163920,136547
227,163915,136519
228,163947,136523
229,163949,136524
230,163911,136548
231,163919,136550
232,163926,136550
233,163946,136558
234,163949,136593
235,163949,136629
236,163962,136642
237,163983,136625
238,164011,136603
239,164053,136583
240,164044,136562
241,163965,136507
242,163857,136476
243,163735,136438
244,163686,136408
245,163637,136376
246,163645,136347
247,163622,136285
248,163614,136287
249,163598,136317
250,163591,136339
251,163642,136359
252,163676,136386
253,163731,136426
254,163778,136471
255,163806,136498
256,163903,136506
257,163970,136520
258,164053,136502
259,164054,136519
260,163971,136529
261,163868,136498
262,163765,136430
263,163693,136418
264,163646,136389
265,163610,136350
266,163570,136331
267,163522,136363
268,163483,136397
269,163444,136426
270,163413,136455
271,163410,136504
272,163395,136508
273,163411,136536
274,163426,136523
275,163457,136504
276,163497,136503
277,163548,136516
278,163505,136517
279,163381,136463
280,163259,136415
281,163121,136343
282,163033,136293
283,162954,136258
284,162901,136196
285,162885,136159
286,162853,136176
287,162807,136196
288,162788,136196
289,162781,136221
290,162775,136258
291,162789,136286
292,162791,136299
293,162823,136298
294,162868,136292
295,162898,136304
296,162948,136328
297,162952,136356
298,162827,136253
299,162682,136279
300,162506,136219
301,162391,136181
302,162295,136129
303,162217,136059
304,162178,136038
305,162110,136040
306,162071,136054
307,161996,136038
308,161987,136031
309,161984,136028
310,161966,136064
311,161995,136049
312,162005,136047
313,162055,136023
314,162101,136005
315,162156,136005
316,162241,136024
317,162233,136036
318,162138,135990
319,162053,135940
320,161961,135876
321,161934,135838
322,161903,135817
323,161911,135786
324,161911,135791
325,161903,135824
326,161893,135843
327,161869,135853
328,161880,135886
329,161876,135913
330,161875,135961
331,161909,136025
332,161895,136081
333,161906,136129
334,161897,136172
335,161914,136199
336,161899,136272
337,161780,136221
338,161660,136233
339,161521,136177
340,161440,136153
341,161375,136168
342,161315,136177
343,161299,136188
344,161303,136227
345,161293,136308
346,161267,136367
347,161278,136432
348,161324,136511
349,161387,136584
350,161456,136622
351,161529,136676
352,161661,136700
353,161781,136709
354,161937,136699
355,162076,136744
356,162149,136770
357,162197,136766
358,162201,136748
359,162249,136714
360,162322,136676
361,162408,136683
362,162539,136698
363,162620,136728
364,162724,136772
365,162785,136771
366,162894,136801
367,163014,136836
368,163135,136863
369,163303,136898
370,163436,136936
371,163576,136959
372,163747,136964
373,163891,136978
374,164031,137064
375,164037,137007
376,164014,137002
377,164012,136955
378,164030,136929
379,164085,136931
380,164133,136918
381,164219,136897
382,164281,136914
