timestamp,Green1 Count,Green2 Count
1,107381,106987
2,164268,189022
3,164277,189156
4,164343,189209
5,164341,189282
6,164461,189432
7,164657,189639
8,164805,189770
9,164906,189890
10,165048,190096
11,165259,190346
12,165345,190391
13,164986,189972
14,164436,189366
15,164053,188898
16,163769,188479
17,163487,188098
18,163216,187757
19,163102,187552
20,163083,187430
21,162979,187275
22,162949,187172
23,162886,187090
24,162946,187072
25,162986,187121
26,163169,187234
27,163277,187346
28,163394,187473
29,163594,187689
30,163744,187893
31,163865,188002
32,164030,188184
33,164203,188396
34,164119,188278
35,163611,187701
36,163067,187056
37,162683,186584
38,162324,186130
39,162051,185798
40,161873,185577
41,161785,185476
42,161701,185288
43,161657,185236
44,161580,185128
45,161497,184991
46,161489,184907
47,161518,184911
48,161609,184986
49,161660,185076
50,161726,185185
51,161877,185366
52,162016,185603
53,162207,185885
54,162337,186026
55,162394,186103
56,162401,186056
57,161988,185584
58,161307,184898
59,160822,184404
60,160482,184000
61,160236,183633
62,159989,183332
63,159827,183139
64,159648,182906
65,159467,182602
66,159345,182434
67,159324,182410
68,159370,182476
69,159527,182633
70,159647,182764
71,159748,182961
72,159976,183287
73,160191,183609
74,160315,183912
75,160527,184216
76,160777,184493
77,160946,184625
78,160733,184351
79,160202,183717
80,159813,183294
81,159622,183195
82,159468,183160
83,159436,183221
84,159446,183385
85,159538,183597
86,159566,183744
87,159526,183760
88,159493,183720
89,159507,183729
90,159535,183738
91,159631,183827
92,159763,184033
93,159913,184335
94,160021,184516
95,160084,184594
96,160214,184802
97,160340,184967
98,160242,184779
99,159755,184124
100,159210,183470
101,157510,182822
102,154566,180606
103,152392,178732
104,151323,177551
105,152431,178068
106,153613,179400
107,153396,178046
108,152318,176579
109,150390,174835
110,148631,173318
111,147361,172035
112,147016,171101
113,146900,170181
114,148034,170064
115,150256,170675
116,151817,171573
117,152674,173257
118,154234,175844
119,155909,178062
120,157117,179119
121,157341,179169
122,157126,178907
123,156502,178393
124,155600,177855
125,155089,177648
126,155121,177701
127,155314,177800
128,155439,177763
129,155447,177743
130,155478,177756
131,155578,177878
132,155659,178003
133,155728,178127
134,155879,178316
135,156029,178471
136,156184,178628
137,156283,178798
138,156438,178949
139,156623,179146
140,156768,179361
141,156814,179376
142,156439,178906
143,155958,178321
144,155661,178016
145,155425,177744
146,155240,177542
147,155071,177353
148,155036,177283
149,155042,177299
150,155089,177320
151,155114,177310
152,155096,177335
153,155186,177462
154,155322,177608
155,155443,177789
156,155615,178016
157,155782,178281
158,155954,178571
159,156217,178895
160,156412,179147
161,156580,179370
162,156726,179583
163,156613,179400
164,156120,178783
165,155716,178302
166,155525,178026
167,155365,177828
168,155259,177735
169,155277,177764
170,155338,177825
171,155469,177881
172,155506,177970
173,155619,178094
174,155745,178260
175,155888,178433
176,156000,178618
177,156151,178812
178,156278,179016
179,156436,179241
180,156593,179407
181,156667,179571
182,156811,179705
183,157023,179899
184,157103,180027
185,156928,179731
186,156366,179017
187,155907,178423
188,155580,178014
189,155340,177705
190,155132,177474
191,155020,177312
192,155087,177303
193,155106,177329
194,155124,177345
195,155147,177355
196,155170,177404
197,155261,177530
198,155368,177687
199,155522,177866
200,155638,177993
201,155768,178186
202,155923,178381
203,156035,178579
204,156191,178766
205,156345,178943
206,156506,179122
207,156681,179338
208,156684,179321
209,156239,178727
210,155697,178035
211,155355,177599
212,155090,177286
213,154855,177029
214,154687,176831
215,154553,176698
216,154555,176691
217,154559,176703
218,154547,176725
219,154542,176738
220,154621,176793
221,154719,176961
222,154835,177127
223,154953,177260
224,155055,177416
225,155190,177605
226,155319,177789
227,155462,177964
228,155605,178122
229,155739,178292
230,155906,178491
231,156028,178674
232,156119,178770
233,155870,178404
234,155333,177730
235,154906,177260
236,154663,176961
237,154490,176756
238,154281,176598
239,154248,176493
240,154238,176501
241,154245,176498
242,154287,176546
243,154337,176628
244,154418,176737
245,154490,176817
246,154587,176986
247,154747,177201
248,154862,177401
249,155007,177613
250,155192,177882
251,155353,178139
252,155551,178418
253,155743,178663
254,155975,178924
255,156217,179253
