timestamp,red,green,ir
37747,169449,31521,228285
37756,169460,31531,228271
37766,169466,31517,228305
37777,169430,31534,228302
37787,169454,31540,228276
37796,169448,31532,228287
37806,169465,31522,228287
37816,169466,31523,228285
37827,169446,31534,228325
37836,169443,31534,228299
37846,169465,31528,228317
37856,169481,31529,228327
37867,169462,31532,228318
37876,169474,31527,228312
37886,169469,31534,228336
37896,169461,31518,228325
37907,169468,31518,228307
37916,169469,31532,228318
37926,169434,31528,228308
37936,169463,31528,228297
37947,169460,31523,228300
37957,169464,31516,228330
37966,169468,31509,228330
37976,169471,31535,228314
37986,169456,31518,228319
37996,169466,31531,228302
38006,169450,31534,228297
38016,169450,31527,228285
38026,169451,31533,228312
38037,169454,31516,228330
38046,169444,31516,228296
38056,169450,31526,228272
38066,169451,31526,228306
38076,169463,31525,228309
38086,169449,31514,228292
38096,169446,31526,228314
38106,169451,31540,228314
38116,169450,31512,228297
38125,169441,31520,228297
38136,169447,31513,228293
38146,169425,31522,228302
38156,169431,31525,228270
38166,169431,31510,228280
38176,169421,31508,228271
38186,169416,31518,228241
38196,169424,31508,228247
38206,169415,31517,228219
38215,169408,31525,228234
38226,169388,31509,228249
38236,169373,31524,228231
38246,169399,31509,228218
38255,169385,31517,228236
38266,169387,31515,228224
38276,169385,31523,228216
38286,169382,31524,228241
38295,169381,31520,228229
38306,169409,31517,228226
38316,169397,31527,228224
38326,169400,31503,228240
38336,169427,31516,228245
38345,169401,31515,228233
38356,169406,31513,228273
38366,169400,31510,228297
38375,169443,31510,228293
38386,169416,31519,228300
38396,169430,31515,228288
38406,169436,31512,228319
38416,169434,31519,228314
38425,169436,31509,228350
38435,169463,31520,228330
38446,169435,31510,228339
38456,169449,31519,228348
38465,169458,31497,228378
38476,169450,31512,228385
38486,169448,31500,228366
38496,169451,31504,228365
38506,169452,31508,228381
38516,169459,31512,228364
38526,169459,31500,228365
38536,169467,31514,228356
38545,169470,31502,228355
38555,169456,31513,228341
38565,169442,31504,228368
38576,169465,31497,228371
38585,169451,31499,228371
38596,169458,31489,228359
38605,169455,31501,228362
38616,169454,31485,228352
38625,169446,31502,228350
38635,169442,31518,228341
38646,169444,31501,228345
38656,169420,31506,228336
38666,169433,31500,228345
38675,169412,31501,228333
38685,169424,31505,228321
38695,169422,31502,228353
38706,169427,31512,228343
38715,169437,31479,228336
38725,169436,31506,228349
38735,169446,31503,228357
38745,169454,31492,228358
38754,169450,31508,228384
38765,169465,31500,228363
38775,169450,31502,228370
38785,169476,31515,228398
38794,169469,31488,228413
38805,169469,31483,228408
38815,169489,31509,228432
38825,169495,31481,228415
38835,169507,31496,228433
38845,169487,31504,228455
38855,169502,31490,228422
38866,169473,31498,228442
38875,169466,31489,228432
38885,169485,31493,228415
38895,169482,31493,228433
38905,169480,31472,228436
38916,169492,31481,228441
38925,169493,31489,228403
38935,169477,31490,228410
38946,169459,31494,228443
38956,169490,31474,228410
38965,169471,31482,228429
38975,169480,31487,228423
38985,169481,31480,228429
38995,169478,31493,228410
39005,169470,31484,228418
39015,169462,31481,228427
39025,169478,31478,228443
39035,169475,31463,228430
39045,169481,31475,228424
39055,169485,31477,228425
39065,169477,31477,228428
39075,169441,31480,228427
39084,169477,31476,228421
39095,169472,31471,228437
39105,169476,31473,228416
39116,169524,31474,228430
39125,169493,31477,228418
39135,169495,31481,228450
39145,169484,31482,228455
39155,169473,31483,228470
39165,169485,31495,228453
39174,169508,31478,228478
39185,169507,31467,228488
39195,169473,31474,228472
39205,169505,31477,228485
39214,169482,31480,228475
39225,169491,31488,228486
39235,169502,31465,228502
39245,169511,31471,228501
39254,169517,31472,228491
39264,169499,31464,228487
39274,169489,31466,228511
39285,169503,31449,228487
39294,169459,31466,228495
39304,169522,31462,228486
39314,169470,31466,228469
39325,169497,31463,228483
39334,169449,31464,228484
39344,169514,31463,228476
39354,169458,31466,228471
39365,169470,31467,228483
39375,169432,31473,228459
39384,169474,31464,228473
39395,169488,31477,228487
39405,169469,31470,228478
39416,169513,31471,228489
39424,169489,31475,228497
39435,169488,31453,228457
39445,169493,31463,228482
39455,169488,31466,228505
39464,169476,31471,228475
39474,169477,31458,228528
39485,169482,31472,228482
39495,169520,31453,228489
39504,169497,31443,228495
39515,169514,31457,228543
39524,169500,31450,228489
39535,169504,31439,228489
39544,169479,31449,228496
39555,169470,31429,228488
39565,169492,31447,228505
39575,169459,31452,228492
39584,169479,31452,228481
39594,169465,31450,228476
39604,169480,31450,228507
39615,169489,31444,228480
39625,169473,31454,228457
39635,169484,31448,228488
39644,169478,31448,228464
39655,169501,31445,228477
39665,169456,31449,228470
39675,169477,31451,228463
39684,169474,31441,228454
39695,169501,31438,228479
39705,169485,31433,228477
39714,169480,31426,228476
39724,169463,31432,228455
39735,169462,31433,228461
39745,169464,31439,228472
39754,169440,31425,228423
39764,169443,31431,228447
39774,169471,31442,228449
39785,169446,31436,228442
39794,169466,31429,228451
39804,169464,31425,228440
39814,169447,31435,228454
39825,169444,31424,228461
39834,169471,31430,228439
39844,169466,31412,228444
39854,169455,31425,228425
39865,169446,31419,228457
39875,169441,31429,228418
39884,169435,31433,228448
39894,169449,31433,228452
39905,169437,31430,228424
39915,169430,31425,228425
39924,169440,31426,228433
39934,169424,31419,228436
39945,169450,31413,228436
39955,169420,31420,228410
39964,169444,31429,228409
39974,169441,31392,228418
39984,169421,31415,228431
39994,169416,31420,228420
40003,169441,31407,228409
40014,169437,31390,228420
40024,169403,31419,228393
40035,169416,31402,228415
40044,169426,31411,228418
40054,169411,31407,228397
40064,169418,31413,228409
40074,169423,31410,228375
40084,169386,31430,228399
40094,169411,31418,228409
40104,169417,31415,228422
40114,169377,31423,228406
40125,169409,31410,228388
40134,169398,31414,228402
40144,169420,31420,228395
40154,169392,31421,228393
40165,169408,31413,228402
40174,169417,31410,228396
40184,169394,31405,228404
40194,169412,31412,228399
40204,169399,31406,228398
40214,169409,31409,228389
40224,169405,31409,228414
40234,169412,31403,228423
40245,169428,31389,228447
40254,169448,31408,228433
40264,169438,31391,228460
40274,169431,31391,228467
40284,169434,31397,228484
40294,169441,31382,228474
40303,169462,31395,228486
40314,169450,31375,228482
40324,169438,31397,228429
40334,169420,31394,228475
40344,169435,31384,228464
40354,169406,31384,228437
40364,169408,31392,228451
40374,169416,31384,228447
40384,169409,31394,228457
40394,169383,31382,228455
40404,169387,31372,228396
40414,169379,31393,228372
40423,169375,31390,228418
40433,169393,31401,228405
40444,169372,31385,228387
40454,169375,31373,228406
40463,169375,31372,228359
40474,169369,31366,228382
40484,169360,31377,228363
40494,169357,31389,228371
40503,169356,31393,228351
40513,169363,31357,228362
40524,169352,31389,228334
40534,169370,31371,228311
40543,169353,31377,228336
40562,169350,31372,228322
40565,169347,31371,228337
40574,169351,31347,228314
40583,169341,31395,228318
40593,169347,31373,228328
40603,169345,31383,228330
40614,169332,31374,228335
40624,169347,31376,228317
40642,169311,31384,228308
40645,169339,31371,228324
40654,169324,31372,228304
40664,169311,31375,228319
40673,169327,31361,228317
40683,169334,31372,228291
