timestamp,red,green,ir,,,,
18588,157578,37679,192465,,,,
18598,157598,37690,192498,,,, 
18608,157616,37683,192508,,,,
18618,157676,37659,192527,,,,
18628,157672,37650,192551,,,,
18638,157673,37665,192542,,,,
18649,157674,37667,192543,,,,
18659,157676,37682,192539,,,,
18668,157646,37658,192545,,,,
18678,157666,37643,192527,,,,
18689,157660,37652,192522,,,,
18699,157665,37657,192494,,,,
18708,157676,37665,192507,,,,
18718,157674,37651,192515,,,,
18728,157680,37635,192529,,,,
18738,157711,37616,192533,,,,
18749,157720,37641,192558,,,,
18758,157726,37648,192539,,,,
18769,157679,37641,192527,,,,
18779,157661,37649,192508,,,,
18789,157648,37641,192488,,,,
18798,157650,37620,192469,,,,
18809,157639,37629,192454,,,,
18819,157624,37632,192452,,,,
18829,157633,37633,192457,,,,
18838,157624,37605,192447,,,,
18849,157628,37631,192423,,,,
18859,157631,37627,192408,,,,
18869,157626,37639,192417,,,,
18878,157625,37636,192391,,,,
18888,157619,37650,192389,,,,
18898,157628,37659,192389,,,,
18909,157613,37648,192368,,,,
18918,157600,37642,192379,,,,
18928,157613,37644,192381,,,,
18938,157620,37632,192375,,,,
18948,157591,37652,192348,,,,
18958,157593,37629,192356,,,,
18968,157570,37659,192339,,,,
18978,157569,37619,192309,,,,
18989,157551,37650,192289,,,,
18999,157520,37661,192278,,,,
19008,157496,37646,192233,,,,
19018,157475,37650,192243,,,,
19029,157488,37651,192221,,,,
19039,157462,37667,192191,,,,
19048,157437,37655,192175,,,,
19058,157420,37666,192169,,,,
19069,157421,37634,192142,,,,
19079,157389,37658,192113,,,,
19088,157389,37656,192098,,,,
19098,157365,37646,192077,,,,
19108,157372,37646,192089,,,,
19118,157389,37657,192104,,,,
19128,157382,37636,192070,,,,
19138,157359,37650,192046,,,,
19148,157348,37647,192033,,,,
19158,157332,37649,192022,,,,
19168,157311,37637,191987,,,,
19177,157303,37638,191959,,,,
19189,157285,37621,191957,,,,
19198,157290,37650,191922,,,,
19208,157239,37631,191931,,,,
19218,157257,37635,191866,,,,
19229,157253,37635,191865,,,,
19239,157268,37660,191891,,,,
19249,157271,37643,191855,,,,
19258,157249,37639,191875,,,,
19268,157272,37650,191891,,,,
19278,157290,37648,191898,,,,
19288,157278,37630,191904,,,,
19298,157280,37653,191904,,,,
19308,157304,37645,191902,,,,
19318,157277,37660,191903,,,,
19329,157278,37653,191896,,,,
19338,157282,37640,191903,,,,
19348,157288,37643,191879,,,,
19358,157277,37644,191866,,,,
19368,157261,37644,191855,,,,
19377,157250,37645,191875,,,,
19388,157266,37640,191865,,,,
19397,157269,37669,191854,,,,
19409,157272,37642,191858,,,,
19418,157274,37667,191869,,,,
19428,157266,37659,191876,,,,
19438,157293,37646,191884,,,,
19449,157296,37661,191894,,,,
19458,157306,37655,191889,,,,
19468,157292,37662,191899,,,,
19478,157305,37659,191905,,,,
19488,157321,37651,191894,,,,
19498,157332,37674,191884,,,,
19507,157318,37663,191893,,,,
19518,157315,37666,191880,,,,
19528,157315,37653,191891,,,,
19538,157315,37661,191903,,,,
19548,157349,37660,191912,,,,
19558,157351,37633,191906,,,,
19568,157353,37646,191913,,,,
19578,157372,37640,191913,,,,
19588,157342,37637,191925,,,,
19597,157375,37625,191905,,,,
19608,157398,37595,191925,,,,
19618,157386,37616,191901,,,,
19628,157401,37617,191927,,,,
19638,157393,37613,191922,,,,
19648,157390,37615,191891,,,,
19658,157370,37618,191904,,,,
19667,157379,37592,191917,,,,
19677,157384,37596,191889,,,,
19688,157379,37598,191889,,,,
19697,157364,37581,191891,,,,
19708,157380,37569,191879,,,,
19717,157372,37595,191877,,,,
19728,157388,37572,191867,,,,
19738,157395,37592,191863,,,,
19748,157387,37587,191865,,,,
19757,157369,37594,191886,,,,
19767,157396,37592,191869,,,,
19777,157389,37600,191858,,,,
19789,157370,37588,191878,,,,
19797,157380,37591,191868,,,,
19808,157361,37584,191852,,,,
19818,157382,37581,191855,,,,
19828,157372,37578,191847,,,,
19837,157382,37585,191837,,,,
19847,157372,37586,191838,,,,
19857,157384,37592,191838,,,,
19868,157376,37567,191847,,,,
19877,157382,37591,191830,,,,
19887,157400,37585,191856,,,,
19897,157391,37583,191841,,,,
19907,157381,37600,191855,,,,
19917,157407,37593,191867,,,,
19927,157392,37601,191838,,,,
19937,157395,37590,191846,,,,
19948,157396,37590,191845,,,,
19957,157376,37591,191824,,,,
19967,157378,37595,191808,,,,
19990,157375,37597,191817,,,,
19998,157386,37601,191820,,,,
20007,157369,37597,191800,,,,
20017,157355,37592,191798,,,,
20027,157357,37590,191808,,,,
20038,157358,37604,191764,,,,
20047,157353,37608,191780,,,,
20057,157355,37608,191797,,,,
20068,157359,37598,191786,,,,
20078,157368,37616,191781,,,,
20087,157375,37617,191791,,,,
20097,157371,37588,191791,,,,
20107,157378,37611,191769,,,,
20118,157365,37614,191779,,,,
20127,157367,37616,191780,,,,
20137,157352,37610,191775,,,,
20147,157369,37619,191783,,,,
20157,157373,37604,191755,,,,
20167,157371,37612,191774,,,,
20177,157347,37608,191768,,,,
20187,157375,37616,191764,,,,
20197,157378,37630,191772,,,,
20207,157389,37631,191785,,,,
20217,157397,37626,191794,,,,
20227,157391,37628,191791,,,,
20238,157381,37645,191795,,,,
20248,157405,37636,191803,,,,
20257,157413,37633,191826,,,,
20267,157438,37633,191841,,,,
20277,157426,37652,191831,,,,
20288,157464,37636,191861,,,,
20297,157457,37646,191846,,,,
20307,157477,37664,191880,,,,
20317,157463,37659,191872,,,,
20327,157482,37661,191895,,,,
20336,157497,37646,191891,,,,
20347,157491,37669,191899,,,,
20358,157510,37670,191892,,,,
20368,157508,37670,191895,,,,
20377,157493,37675,191910,,,,
20387,157520,37676,191905,,,,
20397,157516,37666,191919,,,,
20407,157536,37672,191929,,,,
20417,157537,37681,191933,,,,
20427,157565,37685,191950,,,,
20437,157561,37679,191973,,,,
20447,157562,37696,191980,,,,
20457,157580,37677,191997,,,,
20466,157587,37686,191976,,,,
20477,157598,37675,192001,,,,
20488,157598,37675,192012,,,,
20498,157596,37647,191983,,,,
20507,157605,37651,191981,,,,
20517,157560,37651,192000,,,,
20527,157593,37639,191991,,,,
20537,157590,37659,191993,,,,
20547,157564,37633,191990,,,,
20557,157581,37641,191976,,,,
20567,157595,37642,192004,,,,
20577,157587,37632,191994,,,,
20586,157581,37642,191968,,,,
20596,157582,37625,191990,,,,
20607,157595,37632,192001,,,,
20617,157600,37635,191995,,,,
20627,157588,37655,192018,,,,
20637,157594,37642,192019,,,,
20647,157610,37637,192013,,,,
20657,157588,37636,192059,,,,
20667,157601,37633,192043,,,,
20677,157631,37644,192035,,,,
20687,157602,37631,192044,,,,
20697,157611,37642,192049,,,,
20707,157592,37628,192028,,,,
20716,157589,37629,192032,,,,
20729,157568,37643,192047,,,,
20737,157598,37646,192052,,,,
20747,157604,37642,192043,,,,
20756,157602,37645,192031,,,,
20767,157593,37646,192036,,,,
20777,157600,37658,192022,,,,
20787,157584,37648,192058,,,,
