 timestamp,red,green,ir
13172,153550,37579,184962
13182,153604,37584,184960
13192,153663,37580,185019
13203,153789,37609,185059
13212,153896,37604,185142
13222,153991,37586,185203
13232,153990,37600,185153
13242,153937,37582,185070
13252,153784,37578,184969
14168,153577,37705,184840
14177,153431,37704,184774
14240,153310,37680,184772
14300,153193,37641,184699
14626,153100,37682,184812
14680,153062,37688,184722
14832,152998,37719,184671
14836,152998,37713,184669
14900,153020,37748,184675
14903,153034,37735,184691
15048,153013,37774,184716
15056,153018,37785,184717
15187,152944,37761,184633
15506,152976,37742,184640
15559,152971,37753,184672
15562,152985,37756,184685
15641,152998,37764,184682
15656,152992,37784,184709
15676,153015,37788,184699
15721,153041,37803,184749
15868,153092,37841,184813
15944,153130,37876,184863
16043,153161,37910,184890
16045,153155,37923,184881
16079,153167,37918,184912
16081,153177,37926,184935
16096,153163,37971,184898
16160,153239,37899,185009
16162,153263,37912,185019
16169,153246,37892,184992
16196,153262,37901,185022
16217,153283,37898,185040
16483,153267,37916,185014
16540,153246,37938,184987
16557,153241,37920,184987
16560,153262,37935,184975
16597,153252,37946,184966
16617,153216,37957,184960
16620,153236,37942,184962
16741,153226,37980,184938
16781,153211,37995,184916
16900,153193,38010,184903
17029,153203,38042,184904
17080,153248,38056,184942
17637,153187,38033,184848
17680,153179,38036,184808
19132,154336,38163,185070
19222,154378,38150,185032
19559,154584,38228,185324
19578,154585,38197,185270
19580,154593,38217,185282
19640,154643,38200,185391
19642,154642,38204,185424
19811,154936,38263,185965
19837,154950,38275,185940
19840,155000,38273,185991
19958,154965,38301,185744
20020,154824,38266,185497
20022,154814,38255,185452
20026,154799,38212,185398
20258,154779,38078,185116
20260,154781,38092,185107
20278,154769,38075,185083
20287,154759,38066,185071
20317,154754,38063,185043
20319,154761,38063,185043
20326,154754,38061,185028
20336,154745,38058,185019
20346,154747,38073,184997
20356,154740,38067,184967
20377,154733,38049,184978
20386,154740,38046,184958
20396,154729,38036,184937
20406,154729,38044,184921
20459,154709,38037,184890
20466,154718,38033,184885
20477,154701,38038,184888
20539,154736,38015,184907
20541,154734,38017,184887
20546,154721,38038,184889
20556,154746,38030,184882
20566,154739,38013,184891
20577,154756,38012,184888
20684,154728,38020,184832
20686,154731,38011,184830
20696,154726,38034,184828
20715,154729,38025,184848
20717,154720,38030,184839
20725,154723,38020,184827
20756,154719,38017,184823
20758,154723,38029,184808
20766,154735,38022,184824
20796,154737,38035,184805
20818,154738,38044,184811
20826,154741,38023,184825
20836,154736,38037,184837
20857,154730,38049,184817
20866,154742,38043,184801
20875,154716,38039,184803
20885,154725,38028,184804
20895,154736,38045,184754
21027,154726,37994,184760
21081,154704,37944,184711
21086,154720,37942,184692
21096,154680,37949,184649
21115,154698,37942,184667
21118,154706,37917,184662
21125,154683,37921,184659
21156,154694,37913,184648
21159,154692,37909,184633
21166,154688,37896,184639
21197,154681,37885,184601
21246,154668,37864,184575
21256,154668,37891,184572
21265,154686,37864,184574
21275,154687,37874,184577
21285,154690,37865,184558
21295,154695,37854,184579
21305,154694,37844,184561
21316,154701,37851,184567
21337,154700,37860,184554
21345,154674,37857,184573
21356,154682,37844,184544
21376,154670,37853,184543
21385,154684,37836,184531
21396,154656,37851,184526
21405,154674,37847,184518
21416,154686,37848,184523
21465,154666,37850,184495
21475,154683,37852,184495
21583,154686,37851,184484
21586,154686,37863,184485
21596,154681,37853,184469
21605,154664,37857,184484
21616,154678,37841,184457
21736,154670,37869,184464
21738,154687,37870,184474
21746,154670,37888,184474
21888,154722,37903,184526
21897,154743,37920,184566
21905,154754,37907,184560
21916,154746,37913,184544
21925,154761,37906,184547
21935,154772,37899,184553
21985,154779,37878,184572
22083,154777,37809,184572
22097,154745,37857,184524
22145,154791,37796,184564
22155,154780,37797,184546
22165,154779,37798,184516
22175,154785,37807,184546
22518,154828,37831,184614
22559,154827,37835,184624
22564,154822,37838,184629
22574,154844,37838,184636
22695,154829,37859,184630
22782,154832,37873,184660
22840,154849,37902,184651
22844,154834,37909,184658
22854,154794,37909,184649
22865,154832,37911,184644
22875,154843,37904,184649
22884,154849,37903,184654
22894,154860,37907,184660
22904,154876,37892,184683
22914,154863,37914,184694
22936,154870,37892,184712
22944,154877,37892,184720
22954,154887,37886,184727
23044,154869,37832,184725
23056,154864,37851,184708
23078,154853,37820,184733
23083,154854,37830,184720
23094,154845,37812,184717
23185,154798,37801,184672
23196,154764,37805,184679
23204,154789,37812,184673
23213,154773,37792,184659
23237,154777,37809,184654
23244,154754,37799,184666
23254,154745,37809,184641
23303,154720,37803,184641
23313,154722,37813,184635
23379,154698,37802,184613
23384,154691,37800,184612
23394,154676,37816,184587
23416,154684,37820,184627
23423,154666,37805,184621
23434,154671,37801,184621
23444,154677,37817,184598
23454,154654,37807,184624
23476,154674,37831,184625
23483,154667,37820,184621
23496,154674,37819,184636
23504,154659,37833,184625
23514,154641,37814,184614
23537,154654,37843,184620
23543,154637,37833,184632
23553,154644,37840,184612
23564,154635,37847,184630
23574,154636,37837,184609
23583,154633,37849,184601
23640,154621,37859,184627
23643,154627,37854,184633
23653,154625,37864,184644
23664,154620,37852,184611
23673,154618,37874,184615
23724,154597,37877,184641
23734,154606,37869,184587
