timestamp,red,green,ir
63661,153443,36106,185669
63693,153465,36100,185723
63700,153462,36106,185716
63798,153540,36124,185822
63813,153533,36132,185814
63833,153585,36115,185834
63841,153582,36105,185844
63939,153546,36124,185812
63941,153515,36106,185792
63950,153509,36130,185733
63960,153494,36113,185760
63970,153465,36121,185732
63981,153446,36111,185712
64036,153404,36125,185597
64080,153412,36126,185574
64089,153394,36134,185545
64100,153428,36116,185559
64110,153446,36142,185534
64716,153073,36085,184457
65156,153426,36042,184494
65329,153003,36017,184009
65354,152983,36006,183989
65470,153189,35990,184099
65515,153319,35994,184201
65519,153346,35984,184244
65640,153315,36006,184186
65653,153266,36034,184128
65699,153273,36010,184116
66042,153301,35970,184010
66189,153266,35947,183896
66214,153245,35957,183855
66966,153331,35923,183729
67016,153334,35931,183727
67019,153348,35927,183726
67361,153394,35942,183706
67363,153394,35940,183706
67372,153380,35957,183687
67392,153402,35951,183694
67397,153393,35946,183715
68013,153513,35988,183723
68015,153501,35984,183716
68018,153517,35975,183673
68076,153532,35984,183720
68079,153546,36007,183732
68359,153486,36033,183592
68862,153621,36019,183515
69096,153800,36034,183613
69098,153824,36050,183630
69106,153839,36065,183637
69116,153890,36040,183710
69219,154257,36058,184251
69221,154299,36071,184306
69319,154486,36083,184489
69400,154733,36100,184706
69407,154737,36107,184715
69416,154806,36102,184762
69454,154883,36105,184851
69473,154907,36149,184870
69476,154968,36120,184963
69486,155005,36144,184973
69496,155027,36140,184999
69599,155090,36164,185078
69602,155108,36164,185068
69605,155087,36162,185007
69616,155093,36155,185040
69736,155164,36177,185070
69777,155150,36184,185038
69813,155168,36195,185023
69833,155162,36185,184996
69946,155177,36208,184986
69952,155191,36207,184991
69956,155189,36212,184962
69965,155186,36198,185032
70016,155199,36193,184988
70054,155219,36217,185021
70278,155271,36195,184958
70381,155286,36160,184985
70717,154378,36092,184198
70868,154400,36084,184246
71137,154583,36127,184550
71472,154566,36183,184597
72029,154513,36215,184561
72076,154551,36226,184630
72136,154541,36223,184669
72139,154553,36241,184671
72366,154724,36289,184918
72394,154737,36296,184966
72396,154742,36319,184964
72434,154733,36305,184954
72436,154727,36314,184951
72452,154719,36330,184940
72562,154741,36350,184999
72564,154749,36340,185003
72573,154737,36364,184968
72583,154718,36353,184990
72593,154724,36351,184981
72603,154712,36366,184947
72614,154706,36337,184958
72654,154694,36351,184974
72673,154681,36335,184940
72693,154636,36368,184911
72806,154520,36344,184779
72899,154494,36330,184757
72901,154507,36320,184770
72904,154505,36335,184752
72913,154504,36304,184769
72923,154516,36326,184756
72977,154568,36323,184823
72983,154582,36322,184845
73037,154577,36309,184843
73052,154562,36314,184831
