timestamp,red,green,ir
15822,165041,37056,213725
15832,165048,37051,213713
15841,165024,37051,213726
15856,165029,37028,213699
15920,165019,37028,213707
16005,165022,37012,213711
16016,165011,36985,213683
16020,165012,36993,213698
16031,165043,36974,213679
16167,164986,36969,213678
16177,164977,36940,213656
16180,164988,36969,213695
16190,164988,36969,213694
16201,164968,36974,213673
16211,164962,36958,213672
16221,164978,36969,213649
16231,164969,36972,213681
16241,164978,36971,213655
16255,164972,36957,213658
16345,164941,36953,213638
16350,164915,36966,213597
16360,164946,36929,213614
16371,164945,36939,213614
16380,164935,36930,213617
16391,164915,36942,213631
16400,164926,36953,213629
16411,164934,36936,213621
16420,164930,36941,213623
16430,164918,36934,213628
16441,164924,36944,213630
16451,164919,36945,213636
16460,164907,36938,213659
16470,164942,36929,213650
16521,164956,36941,213694
16531,164957,36905,213697
16540,164965,36924,213699
16578,164968,36910,213722
16597,164957,36924,213719
16618,164954,36913,213797
16621,164985,36902,213735
16630,164951,36897,213743
16640,164985,36892,213734
16651,164968,36912,213736
16661,164983,36910,213722
16781,164968,36879,213755
16783,164959,36875,213760
16795,164927,36896,213759
16800,164968,36877,213760
16810,164993,36865,213759
16820,164969,36855,213739
16836,164948,36866,213739
16840,164960,36871,213769
16850,164955,36858,213730
16861,164954,36859,213760
16871,164954,36861,213760
16880,164964,36858,213766
16896,164963,36865,213746
16900,164958,36854,213776
16911,164945,36842,213729
16919,164952,36848,213776
16930,164954,36849,213760
16940,164965,36847,213768
16950,164953,36850,213755
17022,164950,36837,213771
17024,164951,36841,213780
17030,164970,36844,213729
17041,164943,36839,213755
17050,164942,36813,213768
17060,164954,36838,213770
17077,164965,36834,213749
17080,164952,36847,213768
17090,164913,36824,213752
17100,164955,36822,213762
17116,164934,36838,213759
17120,164956,36822,213768
17137,164911,36814,213733
17139,164933,36814,213758
17150,164931,36824,213729
17220,164921,36817,213750
17281,164906,36799,213724
17322,164896,36801,213721
17330,164870,36799,213662
17339,164901,36808,213709
17378,164892,36795,213714
17491,164867,36797,213662
17562,164797,36780,213554
17564,164786,36784,213538
17642,164755,36774,213448
17644,164780,36785,213467
17649,164757,36792,213429
17660,164769,36784,213480
17698,164744,36782,213436
17701,164751,36795,213431
17709,164742,36787,213387
17719,164739,36798,213398
17729,164759,36820,213413
17740,164754,36770,213403
17750,164730,36779,213389
17759,164715,36794,213362
17770,164703,36800,213361
17780,164738,36795,213363
17796,164720,36785,213366
17799,164736,36790,213366
17809,164722,36790,213369
17820,164704,36799,213354
17903,164801,36807,213540
17985,164923,36837,213826
18083,165047,36847,214080
18097,165078,36861,214118
18099,165110,36859,214153
18117,165096,36887,214172
18138,165127,36865,214195
18140,165116,36853,214198
18149,165114,36868,214216
18160,165119,36845,214241
18169,165129,36869,214221
18179,165114,36854,214229
18189,165117,36860,214243
18199,165118,36853,214205
18208,165107,36850,214221
18219,165105,36851,214203
18229,165117,36862,214180
18239,165100,36869,214189
18256,165110,36832,214176
18258,165107,36867,214178
18269,165101,36832,214115
18296,165093,36837,214136
18317,165081,36851,214090
18320,165044,36856,214086
18330,165029,36848,214055
18339,165050,36848,214049
18401,165056,36845,214045
18403,165038,36838,214036
18409,165044,36844,214001
18418,165024,36860,214033
18429,165045,36842,214019
18439,165053,36858,213991
18449,165020,36853,214039
18459,165064,36851,214010
18469,165025,36858,214016
18479,165060,36838,214021
18489,165028,36855,214015
18499,165037,36837,213985
18508,165037,36853,213980
18519,165031,36852,213967
18529,165019,36841,213962
18539,165028,36858,213961
18549,165031,36841,213965
18559,165024,36846,213944
18569,165046,36852,213942
18579,165035,36858,213914
18588,165015,36856,213937
18599,165002,36834,213946
18609,165026,36846,213932
18619,165034,36846,213933
18629,165018,36841,213927
18638,165021,36851,213925
18649,165025,36851,213926
18659,165023,36858,213918
18668,165037,36826,213936
18678,165039,36849,213910
18688,165038,36844,213935
18699,165055,36845,213926
18708,165010,36864,213945
18718,165035,36855,213936
18728,165034,36851,213927
18739,165047,36845,213930
18749,165038,36850,213933
18758,165037,36840,213933
18769,165054,36839,213948
18779,165050,36858,213941
18789,165037,36868,213942
18798,165039,36844,213952
18808,165054,36849,213947
18819,165045,36856,213912
18829,165033,36838,213950
18838,165042,36867,213947
18848,165033,36854,213960
18858,165064,36850,213963
18868,165058,36862,213968
18878,165055,36856,213955
18888,165048,36857,213963
18898,165039,36843,213954
18909,165056,36862,213950
18918,165058,36851,213960
18929,165072,36860,213955
18938,165062,36862,213956
18949,165073,36867,213965
18958,165076,36860,213950
18968,165040,36862,213949
18979,165060,36868,213963
18989,165041,36878,213915
18999,165056,36858,213976
19008,165070,36869,213972
19018,165057,36876,213952
19028,165074,36857,213954
19039,165068,36872,213932
19048,165067,36857,213965
19058,165063,36857,213959
19069,165058,36876,213977
19078,165059,36869,213944
19088,165059,36867,213944
19098,165068,36873,213975
19108,165059,36870,213970
19119,165046,36883,213946
19128,165066,36874,213973
19138,165073,36874,213959
19148,165030,36876,213977
19158,165059,36871,213987
19168,165070,36866,214000
19178,165077,36870,213991
19189,165052,36867,213982
19199,165069,36869,214003
19238,165077,36869,213993
19241,165092,36875,214006
19249,165067,36868,214010
19258,165066,36867,213972
19268,165055,36884,213999
19278,165078,36865,213992
19289,165060,36867,213997
19297,165082,36852,214017
19308,165066,36854,213994
19319,165058,36866,213995
19329,165067,36871,213978
19338,165074,36861,213982
19348,165079,36861,213984
19358,165069,36862,213969
19369,165078,36860,213972
19378,165069,36857,213979
19388,165074,36876,213976
19398,165087,36881,213944
19408,165054,36861,213987
19417,165073,36843,213968
19428,165058,36843,213943
19438,165055,36850,213965
19448,165080,36855,213936
19458,165046,36871,213965
19468,165057,36868,213960
19478,165068,36866,213940
19488,165055,36852,213950
19498,165060,36866,213961
19507,165051,36859,213926
19518,165041,36854,213931
19528,165058,36869,213937
19539,165042,36837,213923
19548,165056,36863,213920
19558,165041,36842,213930
19568,165054,36869,213910
19578,165059,36857,213941
19587,165034,36849,213928
19598,165052,36838,213941
19617,165046,36848,213929
19619,165060,36832,213928
19627,165063,36822,213945
