timestamp,red,green,ir
2612,180343,38041,215477
2622,180344,38051,215485
2632,180362,38028,215473
2642,180351,38049,215465
2652,180357,38041,215471
2662,180349,38043,215464
2672,180356,38033,215457
2681,180350,38043,215438
2691,180354,38021,215462
2702,180351,38047,215453
2712,180355,38046,215434
2722,180351,38028,215441
2732,180355,38039,215452
2742,180355,38004,215453
2751,180342,38035,215445
2761,180348,38038,215427
2771,180342,38048,215437
2781,180339,38043,215453
2792,180348,38027,215437
2802,180341,38034,215441
2812,180330,38041,215453
2833,180325,38033,215450
2841,180347,38025,215453
2851,180336,38025,215455
2862,180342,38030,215456
2872,180353,38035,215436
2881,180337,38028,215428
2892,180338,38024,215422
2902,180324,38033,215440
2912,180336,38039,215449
2933,180342,38022,215448
2942,180320,38012,215473
2952,180328,38021,215451
2961,180281,38037,215497
2971,180315,38016,215515
2981,180295,38011,215523
2991,180278,38012,215549
3001,180290,38035,215539
3011,180302,38022,215541
3021,180299,38024,215528
3033,180304,38015,215518
3041,180302,38010,215527
3051,180297,38019,215493
3061,180314,38011,215512
3071,180319,38024,215503
3082,180320,38007,215540
3091,180329,38022,215534
3101,180319,38004,215561
3111,180326,38027,215594
3121,180324,38008,215617
3132,180329,38001,215650
3142,180316,38022,215652
3152,180336,38022,215647
3162,180324,38012,215668
3171,180326,38029,215650
3181,180332,38009,215642
3191,180333,38004,215634
3202,180323,38002,215636
3213,180325,38007,215603
3221,180320,37998,215618
3231,180315,38015,215569
3241,180299,38020,215593
3251,180300,38013,215580
3261,180303,38006,215597
3272,180292,37991,215592
3282,180298,38017,215587
3291,180304,38019,215582
3301,180296,38003,215605
3311,180273,38014,215590
3321,180297,38021,215592
3331,180274,38014,215566
3341,180288,38000,215556
3351,180270,38006,215565
3361,180293,37996,215575
3373,180278,37990,215582
3381,180272,37987,215584
3392,180264,37994,215544
3401,180278,38004,215569
3411,180281,38016,215570
3420,180277,38000,215551
3431,180277,38003,215530
3441,180270,37991,215525
3452,180268,37994,215528
3461,180270,37986,215531
3472,180254,37989,215514
3494,180274,37998,215566
3500,180280,37978,215571
3511,180288,37987,215560
3521,180283,37992,215594
3531,180269,37997,215614
3541,180275,37985,215631
3551,180291,37969,215606
3561,180275,37994,215646
3571,180261,37989,215624
3581,180281,37981,215611
3591,180251,37994,215623
3601,180293,37991,215613
3611,180275,37981,215591
3621,180267,37987,215609
3631,180265,37975,215595
3641,180268,37994,215610
3651,180259,37978,215593
3661,180290,37971,215598
3670,180266,37980,215580
3680,180268,37979,215589
3691,180253,37975,215593
3713,180260,37964,215619
3720,180268,37977,215641
3731,180258,37971,215628
3741,180260,37984,215604
3751,180275,37987,215616
3761,180249,37975,215615
3771,180258,37985,215611
3781,180252,37973,215641
3791,180261,37970,215610
3800,180253,37985,215618
3810,180262,37972,215614
3820,180255,37967,215615
3831,180273,37971,215614
3853,180278,37967,215631
3874,180256,37970,215642
3880,180263,37979,215641
3892,180241,37976,215639
3913,180265,37976,215659
3921,180225,37971,215653
3931,180241,37964,215624
3941,180235,37973,215619
3951,180247,37978,215630
3960,180248,37969,215619
3971,180222,37975,215594
3981,180227,37970,215575
3991,180230,37976,215546
4000,180207,37983,215563
4010,180241,37968,215555
4020,180237,37963,215552
4031,180197,37976,215543
4041,180237,37969,215555
4050,180231,37980,215570
4073,180243,37971,215587
4120,180235,37959,215645
4130,180260,37950,215657
4140,180232,37971,215648
4150,180217,37976,215671
4161,180251,37966,215638
4170,180231,37968,215592
4180,180242,37966,215601
4190,180243,37969,215605
4201,180253,37972,215566
4210,180259,37969,215585
4220,180234,37975,215555
4230,180269,37975,215543
4241,180251,37977,215509
4250,180260,37969,215482
4260,180260,37959,215518
4270,180273,37972,215518
4280,180256,37967,215492
4291,180247,37983,215476
4300,180282,37982,215439
4310,180262,37973,215467
4320,180259,37968,215459
4330,180250,37985,215450
4340,180256,37970,215423
4350,180244,37993,215381
4360,180243,37969,215372
4370,180230,37977,215361
4380,180227,37969,215320
4390,180223,37972,215342
4400,180231,37963,215347
4411,180211,37967,215315
4420,180218,37980,215310
4430,180200,37989,215310
4440,180225,37980,215327
4450,180246,37978,215326
4460,180233,37987,215333
4470,180223,37983,215313
4480,180243,37966,215340
4490,180243,37968,215326
4500,180246,37962,215354
4509,180248,37984,215310
4520,180245,37971,215348
4530,180239,37962,215341
4540,180236,37978,215326
4549,180239,37968,215336
4560,180258,37951,215339
4571,180234,37969,215381
4581,180250,37973,215359
4590,180247,37983,215380
4600,180238,37978,215361
4610,180232,37974,215361
4620,180225,37968,215395
4629,180237,37966,215381
4640,180243,37974,215380
4650,180247,37969,215366
4660,180232,37972,215371
4669,180231,37974,215397
4680,180243,37969,215385
4690,180241,37974,215389
4700,180226,37951,215391
4710,180232,37974,215380
4720,180240,37970,215363
4730,180247,37987,215380
4740,180245,37958,215354
4750,180244,37973,215324
4760,180232,37965,215321
4770,180210,37969,215346
4780,180233,37963,215345
4790,180216,37971,215349
4799,180225,37958,215359
4809,180212,37953,215347
4820,180197,37962,215387
4830,180229,37971,215377
4839,180214,37962,215392
4850,180225,37950,215412
4875,180228,37951,215410
4879,180236,37953,215417
4890,180214,37959,215406
4899,180230,37956,215387
4910,180216,37952,215386
4919,180223,37969,215412
4930,180192,37954,215412
4940,180219,37964,215403
4950,180191,37966,215410
4959,180204,37968,215424
4969,180203,37958,215397
4980,180201,37935,215398
4990,180202,37961,215379
5000,180200,37959,215399
5010,180195,37957,215392
5020,180185,37956,215374
5030,180196,37953,215389
5040,180191,37966,215380
5049,180193,37956,215373
5060,180202,37931,215386
5070,180181,37956,215371
5080,180193,37952,215354
5089,180198,37959,215368
5100,180182,37954,215380
5110,180186,37940,215391
5120,180192,37949,215365
5132,180204,37955,215375
5140,180201,37958,215373
5150,180175,37959,215370
5160,180181,37941,215360
5169,180170,37961,215377
5179,180179,37968,215354
5189,180188,37956,215357
5200,180175,37955,215368
5209,180180,37951,215363
5219,180191,37948,215372
5229,180183,37959,215349
5240,180182,37957,215389
5250,180184,37958,215377
5259,180171,37952,215359
5269,180191,37953,215321
5279,180189,37954,215347
5289,180183,37953,215335
5299,180160,37945,215336
