timestamp,red,green,ir
34934,162479,37169,218032
34944,162480,37151,218035
34954,162478,37161,218039
34969,162481,37152,218049
34991,162507,37154,218006
34994,162469,37145,218009
35076,162467,37127,218014
35078,162466,37138,218020
35083,162462,37129,218013
35093,162470,37122,218014
35103,162480,37133,218041
35113,162489,37115,218031
35123,162473,37129,218052
35133,162478,37110,218028
35144,162508,37115,218041
35154,162478,37113,218025
35164,162471,37127,218040
35173,162477,37124,218038
35183,162479,37120,218027
35193,162469,37110,218008
35204,162466,37117,218009
35213,162445,37105,217968
35224,162451,37097,217955
35234,162426,37115,217945
35244,162424,37115,217930
35253,162410,37109,217918
35263,162373,37105,217891
35274,162373,37113,217879
35284,162363,37118,217866
35293,162363,37120,217837
35303,162360,37114,217836
35313,162364,37122,217806
35323,162346,37111,217810
35333,162320,37115,217837
35343,162348,37118,217790
35353,162330,37103,217826
35364,162351,37084,217828
35391,162372,37100,217865
35394,162377,37103,217889
35410,162378,37141,217894
35413,162426,37103,217936
35422,162393,37091,217972
35433,162438,37095,217985
35443,162464,37100,218012
35454,162449,37111,217992
35463,162451,37093,218023
35473,162452,37096,218053
35483,162459,37092,218027
35494,162453,37095,218027
35503,162466,37090,218046
35513,162442,37099,218057
35523,162453,37087,218050
35533,162475,37088,218037
35542,162476,37092,218042
35552,162482,37090,218072
35563,162505,37068,218111
35574,162487,37099,218107
35583,162505,37072,218126
35593,162508,37070,218132
35603,162504,37083,218159
35613,162498,37067,218138
35629,162501,37070,218163
35633,162502,37068,218155
35650,162487,37068,218184
35653,162521,37049,218171
35663,162506,37066,218207
35673,162500,37057,218162
35683,162523,37049,218165
35693,162517,37041,218180
35703,162526,37056,218188
35713,162537,37043,218172
35723,162524,37037,218193
35733,162524,37030,218182
35744,162534,37020,218160
35753,162524,37049,218187
35763,162517,37036,218175
35773,162512,37019,218199
35783,162518,37044,218190
35811,162520,37023,218202
35814,162515,37028,218180
35824,162507,37016,218139
35850,162506,37027,218180
35853,162495,37026,218166
35863,162504,37034,218187
35873,162495,37031,218160
35882,162489,37034,218123
35892,162484,37033,218136
35903,162480,37021,218137
35913,162490,37035,218131
35923,162498,37028,218135
35933,162477,37027,218115
35943,162492,37034,218112
35953,162469,37020,218135
35963,162460,37037,218152
35972,162496,37037,218134
35983,162483,37016,218135
35993,162481,37021,218148
36002,162473,37035,218158
36013,162501,37021,218161
36023,162497,37016,218157
36033,162496,37032,218158
36042,162498,37018,218163
36052,162509,37019,218173
36063,162505,37013,218187
36073,162509,37026,218160
36090,162499,37022,218195
36092,162526,37023,218220
36102,162520,37056,218230
36113,162524,37014,218221
36123,162534,37000,218252
36132,162537,37025,218251
36171,162550,37005,218280
36174,162562,37021,218302
36183,162533,37020,218263
36193,162558,37000,218288
36209,162565,36992,218299
36212,162556,36997,218321
36222,162567,37010,218291
36233,162555,36999,218300
36243,162532,37025,218282
36252,162532,37019,218317
36263,162548,37021,218292
36272,162538,37027,218292
36283,162566,37002,218300
36292,162542,37007,218281
36302,162541,37013,218283
36313,162536,37022,218298
36351,162545,37005,218286
36354,162543,37007,218298
36363,162533,37011,218252
36373,162539,37022,218316
36382,162545,36990,218286
36392,162531,36990,218295
36402,162531,37022,218265
36413,162526,37002,218288
36429,162531,37001,218300
36494,162557,36997,218331
36511,162562,36968,218307
36531,162561,36984,218328
36533,162563,36995,218364
36541,162562,36964,218300
36552,162580,36983,218347
36562,162576,36996,218326
36573,162555,36987,218342
36583,162570,36984,218346
36592,162576,36981,218358
36602,162579,36983,218357
36630,162578,36976,218380
36633,162561,36980,218376
36642,162557,36966,218329
36652,162589,36970,218371
36663,162584,36977,218418
36672,162595,36967,218386
36682,162604,36963,218392
36693,162602,36966,218413
36703,162566,36976,218405
36712,162597,36958,218379
36722,162570,36978,218414
36733,162564,36978,218387
36793,162587,36975,218412
36834,162597,36979,218453
36842,162572,36994,218440
36852,162595,36973,218424
36870,162596,36964,218443
36891,162565,36992,218438
36894,162601,36958,218439
36903,162589,36966,218440
36912,162589,36980,218444
36922,162599,36963,218438
36932,162602,36965,218442
36942,162565,36963,218465
36952,162597,36956,218438
36962,162602,36948,218442
36972,162588,36961,218439
36982,162585,36975,218461
37010,162593,36971,218463
37013,162603,36965,218487
37022,162590,36978,218469
37032,162614,36969,218437
37041,162593,36973,218459
37094,162586,36967,218457
37101,162567,36966,218445
37112,162572,36949,218437
37123,162578,36956,218418
37131,162568,36969,218430
37142,162599,36963,218436
37152,162577,36971,218416
37162,162550,36981,218396
37171,162556,36990,218424
37189,162582,36971,218431
37210,162576,36955,218394
37213,162568,36968,218432
37222,162572,36964,218436
37232,162566,36969,218433
37250,162560,36962,218413
37252,162577,36960,218437
37270,162568,36941,218413
37273,162559,36964,218405
37282,162558,36942,218411
37291,162568,36952,218410
37301,162556,36954,218438
37374,162539,36962,218361
37376,162521,36954,218364
37381,162523,36960,218353
