timestamp,ch1,ch2,ch3
653328357933557375,52542,-31657,11845
653328357940996848,52550,-31632,11830
653328357948436321,52626,-31596,11985
653328357955875794,52623,-31554,12009
653328357963315267,52601,-31514,11998
653328357970754740,52651,-31494,12007
653328357978194213,52714,-30521,12886
653328357985633686,52662,-31171,12160
653328357993073159,52555,-31446,11892
653328358000512632,52665,-31444,11889
653328358007952105,53612,-30668,12923
653328358015391578,52994,-31187,12402
653328358022831051,52763,-31392,12306
653328358030270524,52644,-31507,12221
653328358037709997,52931,-31508,12223
653328358045149470,52752,-31622,12362
653328358052588943,52689,-31581,12414
653328358060028416,52497,-31606,12529
653328358067524955,52724,-31442,12941
653328358074961072,52559,-31464,12911
653328358082397189,52582,-31495,13037
653328358089833306,52562,-31481,13257
653328358097269423,52540,-31481,13179
653328358104705540,52549,-31512,13380
653328358112141657,52497,-31485,13561
653328358119577774,52635,-31412,13613
653328358127013891,52655,-31313,13993
653328358134450008,52692,-31399,13992
653328358141886125,52770,-31403,14057
653328358149322242,52815,-31319,14119
653328358156758359,52935,-31319,14292
653328358164194476,52844,-31455,14199
653328358171630593,52815,-31507,14147
653328358179066710,52896,-31548,14144
653328358186502827,52897,-31702,14035
653328358193938944,52956,-31717,13915
653328358201346048,52801,-32083,13548
653328358208783872,52800,-31883,13469
653328358216221696,52798,-31998,13321
653328358223659520,52709,-32138,13162
653328358231097344,52685,-32081,12990
653328358238535168,52583,-32209,12887
653328358245972992,52460,-32196,12827
653328358253410816,52306,-32334,12624
653328358260848640,52322,-32350,12759
653328358268286464,52197,-32377,12757
653328358275724288,52079,-32428,12756
653328358283162112,51910,-32479,12779
653328358290599936,51839,-32360,12905
653328358298037760,51750,-31536,13179
653328358305475584,51637,-32008,13007
653328358312913408,51552,-32270,12963
653328358320351232,51333,-32534,12876
653328358327789056,52385,-31518,13831
653328358335255899,51829,-31907,13101
653328358342692016,51297,-32241,12724
653328358350128133,51081,-32354,12766
653328358357564250,51864,-31633,13374
653328358365000367,51230,-32119,13097
653328358372436484,50743,-32390,12927
653328358379872601,50598,-32495,12823
653328358387308718,50455,-32451,13032
653328358394744835,50344,-32460,13065
653328358402180952,50300,-32467,13202
653328358409617069,50324,-32376,13314
653328358417053186,50369,-32343,13443
653328358424489303,50389,-32196,13532
653328358431925420,50393,-32168,13643
653328358439361537,50569,-32180,13840
653328358446797654,50711,-32140,13912
653328358454233771,50732,-32117,13882
653328358461669888,50910,-32043,14104
653328358469135030,50810,-31918,14426
653328358476569440,50956,-32040,14357
653328358484003850,50986,-31997,14430
653328358491438260,51172,-32078,14243
653328358498872670,51240,-32118,14214
653328358506307080,51292,-32251,14107
653328358513741490,51489,-32230,13933
653328358521175900,51568,-32290,13626
653328358528610310,51545,-32343,13483
653328358536044720,51671,-32286,13349
653328358543479130,51583,-32368,13026
653328358550913540,51619,-32470,12740
653328358558347950,51603,-32681,12356
653328358565782360,51636,-32650,12156
653328358573216770,51617,-32652,11953
653328358580651180,51670,-32817,11704
653328358588085590,51610,-32878,11522
6.53328E+17,51684,-32818,11457
653328358602867382,51653,-33105,11385
653328358610306912,51641,-32960,11199
653328358617746442,51618,-32758,11272
653328358625185972,51556,-32876,11308
653328358632625502,51559,-32862,11342
653328358640065032,51512,-32906,11429
653328358647504562,52358,-31872,12430
653328358654944092,51844,-32528,11831
653328358662383622,51677,-32780,11678
653328358669823152,51552,-32946,11620
653328358677262682,52509,-33010,12594
653328358684702212,51739,-33144,11998
653328358692141742,51429,-33130,11863
653328358699581272,51266,-33192,11569
653328358707020802,51290,-33055,11589
653328358714460332,51219,-33150,11563
653328358721899862,51243,-33077,11522
653328358729339392,51256,-33144,11505
653328358736894976,51096,-33214,11387
653328358744327680,51144,-33207,11403
653328358751760384,51063,-33187,11474
653328358759193088,51140,-33083,11456
653328358766625792,51137,-33191,11435
653328358774058496,51191,-33224,11402
653328358781491200,51217,-33172,11458
653328358788923904,51241,-33232,11424
653328358796356608,51294,-33266,11322
653328358803789312,51303,-33311,11097
653328358811222016,51250,-33276,11080
653328358818654720,51139,-33341,11016
653328358826087424,51236,-33305,10896
653328358833520128,51344,-33440,10780
653328358840952832,51199,-33447,10692
653328358848385536,51180,-33453,10675
653328358855818240,51259,-33475,10554
653328358863250944,51157,-33432,10482
653328358870567606,51540,-33562,10610
653328358878007136,51344,-33389,10564
653328358885446666,51371,-33472,10420
653328358892886196,51419,-33399,10506
653328358900325726,51354,-33252,10624
653328358907765256,51554,-33202,10681
653328358915204786,51528,-33207,10622
653328358922644316,51529,-33174,10659
653328358930083846,51560,-33146,10621
653328358937523376,51515,-33221,10749
653328358944962906,51523,-33091,10732
653328358952402436,51569,-33028,10802
653328358959841966,51642,-33090,10625
653328358967281496,51530,-32253,11805
653328358974721026,51554,-32785,11194
653328358982160556,51560,-33074,10983
653328358989600086,51366,-33196,10971
653328358997039616,52472,-32336,11813
653328359004537179,51821,-33123,11188
653328359011973296,51642,-33185,11105
653328359019409413,51498,-33350,11034
653328359026845530,52047,-33432,10930
653328359034281647,51701,-33528,10967
653328359041717764,51463,-33460,11108
653328359049153881,51410,-33466,11065
653328359056589998,51297,-33416,10945
653328359064026115,51304,-33331,11073
653328359071462232,51263,-33565,11075
653328359078898349,51244,-33411,11255
653328359086334466,51317,-33350,11270
653328359093770583,51245,-33479,11348
653328359101206700,51161,-33451,11187
653328359108642817,51255,-33362,11340
653328359116078934,51194,-33467,11424
653328359123515051,51178,-33326,11537
653328359130951168,51062,-33488,11604
653328359138387291,50902,-33435,11641
653328359145823408,51196,-33368,11903
653328359153259525,51156,-33390,11919
653328359160695642,51217,-33261,12073
653328359168131759,51246,-33269,12121
653328359175567876,51194,-33251,11992
653328359183003993,51125,-33332,12026
653328359190440110,51247,-33435,12160
653328359197876227,51249,-33369,12216
653328359205312344,51061,-33409,12286
653328359212748461,51011,-33541,12334
653328359220184578,50824,-33468,12337
653328359227620695,50813,-33502,12483
653328359235056812,50757,-33406,12486
653328359242492929,50652,-33543,12536
653328359249929046,50600,-33664,12461
653328359257365163,50406,-33675,12641
653328359264801280,50427,-33662,12655
653328359272208384,50220,-33658,12883
653328359279646208,50259,-33629,12954
653328359287084032,50266,-32748,13780
653328359294521856,50074,-33419,13275
653328359301959680,50019,-33727,13308
653328359309397504,49877,-33779,13359
653328359316835328,50834,-32906,14341
653328359324273152,50201,-33533,13718
653328359331710976,49807,-33780,13321
653328359339148800,49750,-33886,13187
653328359346586624,50681,-34046,13111
653328359354024448,50125,-34055,13014
653328359361462272,49935,-34132,13033
653328359368900096,49712,-34066,12975
653328359376337920,49670,-34012,13175
653328359383775744,49627,-33890,13144
653328359391213568,49644,-33934,13226
653328359398651392,49664,-33876,13380
653328359406118235,49905,-34100,13432
653328359413554352,49985,-33970,13377
653328359420990469,49778,-33764,13247
653328359428426586,49870,-33738,13325
653328359435862703,49805,-33701,13389
653328359443298820,50014,-33548,13246
653328359450734937,50124,-33535,13145
653328359458171054,50123,-33489,13117
653328359465607171,50302,-33448,13112
653328359473043288,50365,-33518,12894
653328359480479405,50456,-33441,12933
653328359487915522,50530,-33452,12713
653328359495351639,50659,-33430,12581
653328359502787756,50751,-33327,12507
653328359510223873,50861,-33390,12250
653328359517659990,50975,-33337,12158
653328359525096107,50994,-33402,12082
653328359532532224,51005,-33306,12065
653328359539969316,50963,-33262,11833
653328359547405376,51054,-33291,11777
653328359554841436,51163,-33413,11444
653328359562277496,51301,-33433,11105
653328359569713556,51320,-33476,10796
653328359577149616,51371,-33537,10564
653328359584585676,51435,-33621,10141
653328359592021736,51479,-33708,9721
653328359599457796,51427,-33758,9319
653328359606893856,51404,-33887,9200
653328359614329916,51523,-33851,9132
653328359621765976,51549,-33901,8920
653328359629202036,51536,-34012,8943
653328359636638096,52021,-32998,9885
653328359644074156,51704,-33533,9313
653328359651510216,51639,-33771,9067
653328359658946276,51532,-33982,8934
653328359666382336,52580,-33705,9987
653328359673817435,52139,-34198,9721
653328359681253552,51716,-34130,9448
653328359688689669,51509,-34274,9221
653328359696125786,51379,-34208,9441
653328359703561903,51378,-34090,9736
653328359710998020,51272,-34112,9900
653328359718434137,51344,-34099,10045
653328359725870254,51198,-34076,10242
653328359733306371,51291,-34025,10361
653328359740742488,51139,-33975,10558
653328359748178605,51234,-33866,10706
653328359755614722,51381,-33815,10880
653328359763050839,51360,-33873,11068
653328359770486956,51264,-33727,11169
653328359777923073,51370,-33544,11324
653328359785359190,51403,-33588,11484
653328359792795307,51311,-33628,11298
653328359800231424,51519,-33516,11412
653328359807638528,51688,-33617,11696
653328359815076352,51583,-33608,11665
653328359822514176,51736,-33446,11542
6.53328E+17,51820,-33352,11291
653328359837389824,51811,-33344,11307
653328359844827648,51898,-33405,11134
653328359852265472,51894,-33315,11045
653328359859703296,52050,-33265,11036
653328359867141120,52104,-33367,10842
653328359874578944,52307,-33372,10854
653328359882016768,52311,-33388,10690
653328359889454592,52399,-33365,10600
653328359896892416,52428,-33324,10463
653328359904330240,52509,-33364,10399
653328359911768064,52559,-33441,10432
653328359919205888,52505,-33329,10327
653328359926643712,52623,-33378,10294
653328359934081536,52642,-33314,10247
653328359941576429,52663,-33419,10237
653328359949010896,52669,-33247,10484
653328359956445363,52677,-32221,11546
653328359963879830,52753,-32700,11077
653328359971314297,52820,-32935,10834
653328359978748764,52766,-33027,10924
653328359986183231,53768,-32017,11978
653328359993617698,53300,-32545,11604
653328360001052165,53054,-32633,11484
653328360008486632,53016,-32765,11525
653328360015921099,53924,-32822,11599
653328360023355566,53262,-32931,11578
653328360030790033,53044,-32989,11728
653328360038224500,52891,-32840,11930
653328360045658967,52877,-32880,12031
653328360053093434,52889,-32774,12202
653328360060527901,52921,-32767,12334
653328360067962368,52830,-32801,12325
653328360075311743,53039,-32848,12311
653328360082751216,53023,-32880,12344
653328360090190689,52992,-32780,12477
653328360097630162,52954,-32733,12554
653328360105069635,52915,-32753,12641
653328360112509108,52962,-32748,12662
653328360119948581,52999,-32810,12734
653328360127388054,52905,-32773,12675
653328360134827527,53023,-32786,12943
6.53328E+17,53059,-32611,12995
653328360149706473,53153,-32626,13073
653328360157145946,53208,-32537,13219
653328360164585419,53269,-32585,13237
653328360172024892,53318,-32433,13387
653328360179464365,53375,-32373,13445
653328360186903838,53327,-32323,13337
653328360194343311,53372,-32210,13616
653328360201782784,53522,-32145,13726
653328360209307373,53499,-32276,13881
653328360216741840,53505,-32136,13790
653328360224176307,53627,-32158,13839
653328360231610774,53709,-32153,13772
653328360239045241,53632,-32173,13727
653328360246479708,53800,-32040,13692
653328360253914175,53871,-31999,13761
653328360261348642,53873,-32100,13656
653328360268783109,53992,-32175,13492
653328360276217576,53992,-31010,13714
653328360283652043,54084,-31435,13637
653328360291086510,54132,-31650,13663
653328360298520977,54159,-31734,13603
653328360305955444,55236,-30764,14469
653328360313389911,54708,-31406,13980
653328360320824378,54442,-31571,13731
653328360328258845,54565,-31621,13710
653328360335693312,55496,-31637,14185
653328360343042687,54916,-31569,13810
653328360350482160,54615,-31625,13709
653328360357921633,54589,-31900,13604
653328360365361106,54655,-31726,13617
653328360372800579,54520,-31594,13594
653328360380240052,54642,-31515,13668
653328360387679525,54686,-31442,13841
653328360395118998,54725,-31460,13898
653328360402558471,54780,-31474,13759
653328360409997944,54827,-31367,13849
653328360417437417,54800,-31283,13876
653328360424876890,54970,-31239,13972
653328360432316363,54840,-31202,14030
653328360439755836,54982,-31091,14201
653328360447195309,54977,-31109,14269
653328360454634782,55153,-31060,14409
653328360462074255,55171,-31024,14423
653328360469513728,55115,-31013,14438
653328360477011236,55285,-30872,14209
653328360484447296,55357,-30890,14342
653328360491883356,55387,-30882,14499
653328360499319416,55191,-30864,14592
653328360506755476,55330,-30804,14728
653328360514191536,55442,-30655,14718
653328360521627596,55493,-30638,14865
653328360529063656,55566,-30519,14952
653328360536499716,55666,-30500,15118
653328360543935776,55702,-30425,15064
653328360551371836,55694,-30450,15124
653328360558807896,55866,-30330,15103
653328360566243956,55908,-30306,15063
653328360573680016,55875,-30200,15110
653328360581116076,55871,-30242,15119
653328360588552136,55938,-30201,15143
653328360595988196,56013,-30247,15127
653328360603424256,56159,-30115,15264
653328360610829384,56173,-30124,15103
653328360618267264,56272,-29923,15356
653328360625705144,56318,-28966,16342
653328360633143024,56361,-29391,15900
653328360640580904,56365,-29583,15735
653328360648018784,56462,-29743,15651
653328360655456664,57303,-28855,16735
653328360662894544,56746,-29304,16171
653328360670332424,56574,-29441,15959
653328360677770304,56590,-29593,15913
653328360685208184,57148,-29668,15898
653328360692646064,56841,-29729,15771
653328360700083944,56658,-29732,15720
653328360707521824,56476,-29728,15808
653328360714959704,56483,-29705,15841
653328360722397584,56446,-29733,15837
653328360729835464,56498,-29657,15863
653328360737273344,56517,-29647,15966
653328360744742180,56325,-29518,15870
653328360752178240,56346,-29645,15949
653328360759614300,56487,-29626,16029
653328360767050360,56539,-29514,16109
653328360774486420,56572,-29532,16297
653328360781922480,56632,-29534,16406
653328360789358540,56661,-29483,16438
653328360796794600,56704,-29300,16438
653328360804230660,56705,-29361,16497
653328360811666720,56816,-29334,16616
653328360819102780,56899,-29202,16647
653328360826538840,56928,-29150,16604
653328360833974900,56985,-29202,16589
653328360841410960,56848,-29101,16631
653328360848847020,56991,-28966,16710
653328360856283080,57048,-28907,16749
653328360863719140,57143,-28861,16862
653328360871155200,57117,-28894,17025
653328360878560328,57451,-28956,17045
653328360885998208,57369,-28785,17210
653328360893436088,57495,-28716,17236
653328360900873968,57517,-28538,17312
653328360908311848,57521,-28577,17374
653328360915749728,57603,-28452,17519
653328360923187608,57596,-28391,17627
653328360930625488,57812,-28302,17711
653328360938063368,57803,-28164,17838
653328360945501248,57848,-27076,18728
653328360952939128,57925,-27541,18398
653328360960377008,57963,-27801,18400
653328360967814888,57883,-27925,18385
653328360975252768,59004,-26827,19627
653328360982690648,58512,-27287,19141
653328360990128528,58396,-27555,18878
653328360997566408,58291,-27606,18900
653328361005004288,59278,-27724,18909
653328361012473124,58963,-27670,19210
653328361019909184,58696,-27633,19172
653328361027345244,58524,-27590,19117
653328361034781304,58536,-27492,19423
653328361042217364,58419,-27520,19465
653328361049653424,58362,-27473,19584
653328361057089484,58398,-27397,19610
653328361064525544,58552,-27424,19600
653328361071961604,58629,-27350,19781
653328361079397664,58556,-27318,19845
653328361086833724,58601,-27193,20023
653328361094269784,58664,-27240,20071
653328361101705844,58616,-27149,20154
653328361109141904,58744,-27049,20250
653328361116577964,58799,-27082,20261
653328361124014024,58800,-27007,20280
653328361131450084,58850,-26928,20437
653328361138886144,58814,-26887,20466
653328361146291272,58789,-26904,20717
653328361153729152,58907,-26843,20723
653328361161167032,58976,-26794,20837
653328361168604912,59045,-26852,20830
653328361176042792,59077,-26750,20869
653328361183480672,59216,-26625,20970
653328361190918552,59023,-26672,21067
653328361198356432,59059,-26644,21079
653328361205794312,59176,-26697,21119
653328361213232192,59180,-26623,21146
653328361220670072,59180,-26531,21238
653328361228107952,59221,-26548,21189
653328361235545832,59253,-26470,21260
653328361242983712,59272,-26442,21367
653328361250421592,59357,-26439,21415
653328361257859472,59442,-26428,21300
653328361265297352,59446,-25955,21417
653328361272735232,59536,-26119,21466
653328361280204068,59381,-26347,21748
653328361287640128,59510,-26282,21468
653328361295076188,60685,-25253,22520
653328361302512248,60152,-25787,21858
653328361309948308,59833,-25915,21662
653328361317384368,59739,-26038,21672
653328361324820428,60705,-26140,22691
653328361332256488,60081,-26009,22141
653328361339692548,59894,-25997,21976
653328361347128608,59730,-26094,21827
653328361354564668,59560,-26078,21932
653328361362000728,59611,-26054,21802
653328361369436788,59584,-25991,21896
653328361376872848,59467,-26075,21749
653328361384308908,59542,-26021,21797
653328361391744968,59575,-26004,21885
653328361399181028,59563,-25963,21842
653328361406617088,59597,-26038,21703
653328361414080237,59506,-25648,21974
653328361421514704,59604,-25725,21927
653328361428949171,59670,-25811,21865
653328361436383638,59775,-25789,21896
653328361443818105,59676,-25740,21827
653328361451252572,59707,-25837,21772
653328361458687039,59757,-25807,21757
653328361466121506,59782,-25799,21725
653328361473555973,59959,-25769,21818
653328361480990440,59955,-25687,21718
653328361488424907,60005,-25731,21677
653328361495859374,59919,-25799,21664
653328361503293841,60002,-25774,21667
653328361510728308,60117,-25776,21666
653328361518162775,60103,-25790,21568
653328361525597242,60011,-25911,21594
653328361533031709,60036,-25895,21549
653328361540466176,60045,-25870,21558
653328361547815551,60313,-25779,21385
653328361555255024,60088,-25857,21453
653328361562694497,60001,-25934,21546
653328361570133970,60065,-25991,21366
653328361577573443,60077,-25929,21410
653328361585012916,60073,-25978,21236
653328361592452389,60111,-25983,21350
653328361599891862,60185,-25938,21347
653328361607331335,60102,-25982,21126
653328361614770808,60101,-24858,22228
653328361622210281,60254,-25463,21638
653328361629649754,60233,-25757,21350
653328361637089227,60315,-25825,21321
653328361644528700,61315,-24893,22322
653328361651968173,60676,-25549,21774
653328361659407646,60572,-25696,21502
653328361666847119,60513,-25951,21332
653328361674286592,61126,-25874,21400
653328361681811181,60808,-25818,21370
653328361689245648,60618,-25918,21451
653328361696680115,60452,-25904,21400
653328361704114582,60284,-25946,21354
653328361711549049,60373,-25958,21367
653328361718983516,60387,-25986,21301
653328361726417983,60438,-25951,21269
653328361733852450,60338,-25922,21337
653328361741286917,60322,-25924,21098
653328361748721384,60253,-25879,21171
653328361756155851,60364,-25876,21168
653328361763590318,60397,-25880,21121
653328361771024785,60352,-25891,20961
653328361778459252,60244,-26068,20838
653328361785893719,60382,-25896,20966
653328361793328186,60365,-26002,20922
653328361800762653,60392,-25893,20933
653328361808197120,60373,-25935,20812
653328361815517476,60480,-26212,20899
653328361822958656,60390,-26025,20963
653328361830399836,60454,-25970,21034
653328361837841016,60408,-25906,21078
653328361845282196,60444,-25899,20949
653328361852723376,60419,-25908,20960
653328361860164556,60534,-25810,21098
653328361867605736,60496,-25828,21003
653328361875046916,60523,-25861,21067
653328361882488096,60496,-25814,21114
653328361889929276,60543,-25776,21083
653328361897370456,60567,-25787,21035
653328361904811636,60577,-25924,20876
653328361912252816,60603,-25780,20891
653328361919693996,60551,-25753,20996
653328361927135176,60475,-25910,20984
653328361934576356,60480,-24798,21726
653328361942017536,60443,-25485,21249
653328361949545764,60791,-25883,21141
653328361956981824,60701,-25825,21093
653328361964417884,61591,-24749,21947
653328361971853944,60947,-25353,21371
653328361979290004,60768,-25516,21149
653328361986726064,60734,-25548,20986
653328361994162124,61673,-25606,21049
653328362001598184,61075,-25711,21010
653328362009034244,60773,-25756,21044
653328362016470304,60731,-25798,21040
653328362023906364,60590,-25927,20961
653328362031342424,60521,-25964,20947
653328362038778484,60709,-25813,20997
653328362046214544,60624,-25881,20927
653328362053650604,60618,-25859,21006
653328362061086664,60688,-25765,20921
653328362068522724,60606,-25957,20948
653328362075958784,60626,-25745,21009
653328362083363912,60493,-25887,21250
