timestamp,ch1,ch2,ch3
653324335180990921,351127,271971,320338
653324335188425616,351130,271983,320326
653324335195860311,351119,271940,320325
653324335203295006,350941,271880,320249
653324335210729701,350869,271780,320328
653324335218164396,350854,271671,320232
653324335225599091,350914,271765,320261
653324335233033786,350798,271712,320273
653324335240468481,350886,271662,320231
653324335247903176,350732,271613,320319
653324335255337871,350839,271627,320335
653324335262772566,350764,271551,320343
653324335270207261,350839,271788,320430
653324335277641956,350732,271609,320439
653324335285076651,350773,271642,320425
653324335292511346,350687,271542,320418
653324335299946041,350654,271610,320339
653324335307380736,350549,271500,320229
653324335314815433,350758,271618,320219
653324335322250128,350696,271594,320083
653324335329684823,351420,271547,320648
653324335337119518,350822,271351,320205
653324335344554213,350630,271442,319976
653324335351988908,350528,271423,319935
653324335359423603,350467,271414,319879
653324335366858298,350543,271517,319754
653324335374292993,350494,271457,319610
653324335381727688,350250,271385,319453
653324335389162383,350245,271498,319481
653324335396597078,350310,271488,319336
653324335404031773,350332,271467,319198
653324335411466468,350355,271421,319020
653324335418901163,350295,271510,318940
653324335426335858,350284,271330,318748
653324335433770553,350199,271392,318798
653324335441205248,350216,271439,318762
653324335448639945,350225,271758,318584
653324335456074640,350198,271574,318666
653324335463509335,350213,271521,318524
653324335470944030,350184,271520,318587
653324335478378725,350244,271525,318625
653324335485813420,350191,271535,318469
653324335493248115,350136,271603,318344
653324335500682810,350151,271649,318455
653324335508117505,350102,271547,318460
653324335515552200,350173,271626,318524
653324335522986895,350181,271669,318475
653324335530421590,350165,271588,318355
653324335537856285,350251,271602,318479
653324335545290980,350163,271636,318382
653324335552725675,350241,271524,318312
653324335560160370,350146,271604,318370
653324335567595065,350145,271679,318468
653324335575029760,350158,271642,318428
653324335582340680,350502,271568,318319
653324335589782656,350362,272494,318401
653324335597224632,350296,272132,318399
653324335604666608,350331,271874,318380
653324335612108584,350227,271794,318430
653324335619550560,350310,271843,318454
653324335626992536,350289,271879,318273
653324335634434512,350355,271938,318143
653324335641876488,350267,271829,318090
653324335649318464,351243,271890,318533
653324335656760440,350721,271913,318230
653324335664202416,350541,272002,318209
653324335671644392,350368,272068,318191
653324335679086368,350409,272120,318362
653324335686528344,350458,272068,318311
653324335693970320,350435,272021,318353
653324335701412296,350486,271937,318288
653324335708854272,350497,271994,318308
653324335716543835,350270,271908,318540
653324335723971248,350425,272020,318455
653324335731398661,350501,272072,318556
653324335738826074,350509,272141,318440
653324335746253487,350563,272283,318386
653324335753680900,350584,272136,318415
653324335761108313,350691,272300,318479
653324335768535726,350802,272438,318473
653324335775963139,350754,272369,318510
653324335783390552,350823,272287,318335
653324335790817965,350733,272400,318308
653324335798245378,350783,272473,318315
653324335805672791,350883,272476,318306
653324335813100204,350824,272526,318327
653324335820527617,350806,272639,318367
653324335827955030,350865,272527,318239
653324335835382443,351039,272621,318374
653324335842809856,350926,272611,318512
653324335850113481,351182,272929,318852
653324335857548176,351037,272800,318871
653324335864982871,351035,272720,318921
653324335872417566,351144,272630,319256
653324335879852261,351092,272705,319481
653324335887286956,351141,272673,319601
653324335894721651,351103,272575,319718
653324335902156346,351047,272541,319895
653324335909591041,351143,273128,319839
653324335917025736,351090,272853,319995
653324335924460431,351034,272616,320072
653324335931895126,351080,272387,319867
653324335939329821,351110,272328,319744
653324335946764516,351006,272275,319689
653324335954199211,351046,272229,319607
653324335961633906,350899,272190,319363
653324335969068601,351752,272101,319510
653324335976503296,351214,272097,319047
653324335983814216,350903,272338,318455
653324335991256192,350745,272131,318301
653324335998698168,350749,272101,318278
653324336006140144,350710,272090,317895
