timestamp,ch1,ch2,ch3
653222828435319643,273661,272883,357887
653222828442759344,273659,272766,357839
653222828450199045,273604,272741,357640
653222828457638746,273536,272711,357408
653222828465078447,273525,272684,357406
653222828472518148,273485,272647,357297
653222828479957849,273485,272659,357429
653222828487397550,273415,272556,357091
653222828494837251,273319,272528,357137
653222828502276952,273231,272407,357102
653222828509716653,273337,272411,357068
653222828517156354,273248,272373,357027
653222828524596055,273161,272421,356874
653222828532035756,273068,272388,356764
653222828539475457,273128,272227,356733
653222828546915158,273216,272323,356743
653222828554354859,273023,272253,356580
653222828561794560,273124,272146,356594
653222828569327104,272975,272074,356535
653222828576761344,273000,272156,356666
653222828584195584,273030,272116,356539
653222828591629824,273076,272241,356725
653222828599064064,273156,272191,356773
653222828606498304,273109,272198,356738
653222828613932544,273175,272289,356816
653222828621366784,273246,272226,356829
653222828628801024,273217,272243,356667
653222828636235264,273222,272216,356836
653222828643669504,273164,272211,356736
653222828651103744,273116,272223,356777
653222828658537984,273150,272273,356793
653222828665972224,273257,272261,356823
653222828673406464,273117,272381,356874
653222828680840704,273215,272389,356796
653222828688274944,273164,272292,356795
653222828695709184,273182,272267,356744
653222828703081544,273360,272140,356457
653222828710519424,273155,272254,356721
653222828717957304,273178,272186,356772
653222828725395184,273219,272216,356920
653222828732833064,273229,272288,356954
653222828740270944,273253,272389,356983
653222828747708824,273239,272336,357066
653222828755146704,273285,272338,357037
653222828762584584,273211,272337,357026
653222828770022464,273318,272280,356967
653222828777460344,273414,272351,357091
653222828784898224,273358,272475,357152
653222828792336104,273348,272427,357217
653222828799773984,273320,272510,357163
653222828807211864,273247,272399,357251
653222828814649744,273269,272477,357283
653222828822087624,273434,272449,357344
653222828829525504,273482,272493,357372
653222828836994340,273680,272329,357756
653222828844430400,273597,272403,357497
653222828851866460,273649,272482,357489
653222828859302520,273742,272388,357676
653222828866738580,273760,272507,357769
653222828874174640,273742,272610,357801
653222828881610700,273744,272720,357934
653222828889046760,273730,272765,357914
653222828896482820,273831,272711,357909
653222828903918880,273888,272835,358176
653222828911354940,273855,272848,358225
6.53223E+17,273803,272781,358161
653222828926227060,273768,272865,358240
653222828933663120,273940,272867,358302
653222828941099180,273875,272774,358317
653222828948535240,273892,272818,358418
653222828955971300,273919,272940,358510
653222828963407360,274051,272877,358615
653222828970843428,273847,272783,358642
653222828978279488,273932,272859,358619
653222828985715548,274081,272967,358616
653222828993151608,274098,273090,358615
653222829000587668,274218,273175,358658
653222829008023728,274222,273125,358758
653222829015459788,274308,273015,358847
653222829022895848,274358,273039,359013
653222829030331908,274408,273226,358950
653222829037767968,274403,273136,359114
653222829045204028,274328,273168,359012
653222829052640088,274388,273102,358916
653222829060076148,274370,273069,358978
653222829067512208,274416,273011,358841
653222829074948268,274577,273037,358784
653222829082384328,274344,273004,358660
653222829089820388,274071,272918,358524
653222829097256448,274063,272926,358314
653222829104630619,273877,272955,358268
653222829112070320,273898,272699,358092
653222829119510021,273885,272685,357971
653222829126949722,273863,272731,357861
653222829134389423,273709,272542,357619
653222829141829124,273615,272581,357561
653222829149268825,273570,272465,357443
653222829156708526,273520,272353,357379
653222829164148227,273430,272349,357204
653222829171587928,273383,272348,357198
653222829179027629,273209,272309,357023
653222829186467330,273198,272298,356976
653222829193907031,273226,272223,356956
653222829201346732,273182,272281,356933
653222829208786433,273291,272102,356919
653222829216226134,273175,272027,356849
653222829223665835,273218,272138,356819
653222829231105536,273189,272005,356748
653222829238576200,272873,271897,356438
653222829246014080,272907,271970,356501
653222829253451960,272969,272030,356539
653222829260889840,273011,272221,356549
653222829268327720,273051,272122,356580
653222829275765600,272957,272053,356478
653222829283203480,273066,272195,356368
653222829290641360,273042,271998,356396
653222829298079240,273023,271868,356388
653222829305517120,273069,271857,356487
6.53223E+17,273036,271893,356578
653222829320392880,273011,271960,356513
653222829327830760,273026,271914,356525
653222829335268640,273098,271842,356654
653222829342706520,273065,271863,356627
653222829350144400,273072,271935,356617
653222829357582280,273085,271925,356619
653222829365020160,273018,271981,356592
653222829372488996,272968,271734,356750
653222829379925056,273071,271929,356687
653222829387361116,273093,271959,356719
653222829394797176,273143,271950,356686
653222829402233236,273129,271996,356685
653222829409669296,273082,271939,356614
653222829417105356,273131,271949,356526
653222829424541416,273160,271961,356717
653222829431977476,273059,271959,356722
653222829439413536,273114,272004,356676
653222829446849596,273173,271940,356846
653222829454285656,273214,271998,356858
653222829461721716,273207,271961,356851
653222829469157776,273174,272085,356979
653222829476593836,273196,272029,357116
653222829484029896,273231,272017,357063
653222829491465956,273223,272055,356989
653222829498902016,273369,272054,357119
653222829506307144,273593,272220,356954
653222829513745024,273518,272160,357066
653222829521182904,273315,272063,357175
653222829528620784,273326,272057,357316
653222829536058664,273406,272095,357372
653222829543496544,273365,272072,357427
653222829550934424,273381,272078,357411
653222829558372304,273483,272155,357461
653222829565810184,273427,272142,357536
653222829573248064,273517,272177,357602
653222829580685944,273592,272284,357692
653222829588123824,273607,272153,357792
653222829595561704,273568,272247,357853
653222829602999584,273684,272261,357900
653222829610437464,273723,272411,357854
653222829617875344,273757,272474,358020
653222829625313224,273786,272527,358152
653222829632751104,273849,272632,358225
653222829640219940,273676,272334,358291
6.53223E+17,273765,272451,358156
653222829655092060,273756,272494,358221
653222829662528120,273915,272484,358382
653222829669964180,273837,272501,358483
653222829677400240,273926,272566,358536
653222829684836300,273986,272597,358575
653222829692272360,274121,272626,358690
653222829699708420,274174,272669,358735
653222829707144480,274292,272805,358793
653222829714580540,274322,272837,358784
653222829722016600,274426,272807,358841
653222829729452660,274399,272802,358921
653222829736888720,274357,272785,358858
653222829744324780,274265,272792,358943
653222829751760840,274174,272700,358852
653222829759196900,274214,272722,358863
653222829766632960,274157,272742,358777
653222829774038088,274197,272736,358436
653222829781475968,274051,272615,358304
653222829788913848,273910,272568,358325
653222829796351728,273947,272423,358154
653222829803789608,273946,272525,358104
653222829811227488,273833,272391,358008
653222829818665368,273687,272391,357836
653222829826103248,273677,272323,357668
653222829833541128,273593,272204,357545
653222829840979008,273517,272152,357387
653222829848416888,273496,272107,357354
653222829855854768,273347,272095,357141
653222829863292648,273250,271923,356981
653222829870730528,273157,271859,356746
653222829878168408,273114,271870,356710
653222829885606288,273188,271716,356630
653222829893044168,273111,271739,356472
653222829900482048,272941,271691,356376
653222829907950884,273176,271667,356479
653222829915386944,272959,271661,356242
653222829922823004,272939,271568,356186
653222829930259064,272853,271551,356244
653222829937695124,272792,271447,356065
