timestamp,ch1,ch2,ch3
653329139994863104,-55803,-81375,-78033
653329140002301440,-55838,-81329,-77872
653329140009739776,-55799,-81385,-77868
653329140017178112,-55905,-81396,-77902
653329140024616448,-55982,-81498,-78021
653329140032054784,-55870,-81365,-77735
653329140039493120,-55977,-81633,-77997
653329140046931456,-55863,-81631,-77984
653329140054369792,-56025,-81666,-78049
653329140061808128,-55975,-81822,-77911
653329140069246464,-56335,-81949,-78432
653329140076684800,-56364,-81990,-78382
653329140084123136,-56416,-81951,-78338
653329140091561472,-56386,-82005,-78331
653329140098999808,-56236,-82057,-78457
653329140106438144,-56426,-81999,-78405
653329140113876480,-56514,-82056,-78504
653329140121314816,-56703,-82111,-78580
653329140128815049,-56821,-82604,-78371
653329140136249744,-56663,-82375,-78654
653329140143684439,-56799,-82360,-78508
653329140151119134,-56825,-82380,-78567
653329140158553829,-56903,-82333,-78704
653329140165988524,-56942,-82425,-78752
653329140173423219,-56946,-82470,-78902
653329140180857914,-57057,-82514,-79023
653329140188292609,-57087,-82551,-79010
653329140195727304,-57102,-82471,-79030
653329140203161999,-57151,-81218,-77685
653329140210596694,-57188,-81971,-78469
653329140218031389,-57133,-82291,-78757
653329140225466084,-57104,-82433,-78980
653329140232900779,-55824,-81200,-77752
653329140240335474,-56641,-82075,-78578
653329140247770169,-56976,-82424,-78968
653329140255204864,-57092,-82542,-79022
653329140262577664,-56357,-82716,-79478
6.53329E+17,-56934,-82814,-79422
653329140277454336,-57216,-82810,-79322
653329140284892672,-57360,-82813,-79221
653329140292331008,-57389,-82804,-79161
653329140299769344,-57420,-82768,-79335
653329140307207680,-57376,-82850,-79235
653329140314646016,-57393,-82690,-79242
653329140322084352,-57413,-82689,-79331
653329140329522688,-57505,-82805,-79295
653329140336961024,-57299,-82898,-79370
653329140344399360,-57395,-82876,-79338
653329140351837696,-57539,-82571,-79160
653329140359276032,-57602,-82824,-79298
653329140366714368,-57449,-82886,-79275
653329140374152704,-57534,-82923,-79414
653329140381591040,-57421,-82966,-79138
653329140389029376,-57373,-82869,-79235
653329140396529609,-57384,-83055,-79126
653329140403964304,-57658,-82841,-79324
653329140411398999,-57608,-82771,-79336
653329140418833694,-57751,-82872,-79457
653329140426268389,-57679,-82762,-79413
653329140433703084,-57564,-82827,-79374
653329140441137779,-57534,-83027,-79361
653329140448572474,-57457,-82918,-79355
653329140456007169,-57446,-82895,-79441
653329140463441864,-57527,-82921,-79317
653329140470876559,-57544,-82972,-79402
653329140478311254,-57680,-82902,-79439
653329140485745949,-57629,-82850,-79318
653329140493180644,-57496,-82866,-79250
653329140500615339,-57599,-82880,-79353
653329140508050034,-57474,-82883,-79253
653329140515484729,-57458,-82740,-79271
653329140522919424,-57471,-81468,-77904
653329140530292224,-57265,-82460,-78543
653329140537730560,-57499,-82554,-78919
653329140545168896,-57546,-82655,-79033
653329140552607232,-56061,-81451,-77809
653329140560045568,-56739,-82099,-78636
653329140567483904,-57231,-82440,-78959
653329140574922240,-57369,-82574,-79024
653329140582360576,-56100,-82558,-79262
653329140589798912,-56847,-82709,-79358
653329140597237248,-57230,-82641,-79330
653329140604675584,-57364,-82677,-79280
653329140612113920,-57401,-82649,-79178
653329140619552256,-57459,-82671,-79232
653329140626990592,-57304,-82743,-79174
653329140634428928,-57264,-82714,-79063
653329140641867264,-57301,-82606,-79011
653329140649305600,-57347,-82627,-79101
653329140656743936,-57204,-82611,-79025
653329140664244169,-57470,-82620,-78757
653329140671678864,-57370,-82346,-78732
653329140679113559,-57414,-82456,-78893
653329140686548254,-57281,-82547,-79030
653329140693982949,-57239,-82479,-79036
653329140701417644,-57022,-82268,-78765
653329140708852339,-57203,-82530,-78887
653329140716287034,-57148,-82434,-78883
653329140723721729,-57116,-82488,-78855
653329140731156424,-57162,-82393,-79007
653329140738591119,-57143,-82405,-78990
653329140746025814,-57042,-82444,-78900
653329140753460509,-57115,-82530,-78876
653329140760895204,-57141,-82473,-78833
653329140768329899,-57133,-82469,-78785
653329140775764594,-57079,-82476,-78918
653329140783199289,-57134,-82399,-78999
653329140790633984,-57068,-82347,-78763
653329140798006784,-56987,-82095,-78721
653329140805445120,-57028,-82191,-78719
653329140812883456,-56875,-82240,-78675
653329140820321792,-56894,-82237,-78514
653329140827760128,-56857,-82150,-78662
653329140835198464,-57029,-82185,-78576
653329140842636800,-56992,-80869,-77717
653329140850075136,-56850,-81511,-78152
653329140857513472,-56987,-81826,-78470
653329140864951808,-56884,-82118,-78431
653329140872390144,-55541,-80782,-76974
653329140879828480,-56223,-81510,-77866
653329140887266816,-56515,-81756,-78206
653329140894705152,-56697,-81973,-78449
653329140902143488,-55514,-82142,-78475
653329140909581824,-56377,-82134,-78473
653329140917020160,-56657,-82210,-78622
653329140924458496,-56796,-82314,-78537
653329140932020626,-57016,-82390,-78381
653329140939451680,-57103,-82464,-78558
653329140946882734,-57027,-82339,-78654
653329140954313788,-57193,-82318,-78664
653329140961744842,-57198,-82319,-78687
653329140969175896,-57241,-82434,-78815
653329140976606950,-57387,-82506,-78743
653329140984038004,-57382,-82544,-78824
653329140991469058,-57359,-82334,-78775
653329140998900112,-57422,-82524,-78799
653329141006331166,-57361,-82527,-78827
653329141013762220,-57392,-82655,-78919
653329141021193274,-57334,-82543,-78884
653329141028624328,-57338,-82627,-79007
653329141036055382,-57505,-82714,-78903
653329141043486436,-57594,-82766,-79062
653329141050917490,-57480,-82818,-79142
653329141058348544,-57698,-82892,-79062
653329141065717705,-57795,-82892,-79180
653329141073152400,-57683,-82921,-79127
653329141080587095,-57590,-82811,-79139
653329141088021790,-57598,-82784,-79121
