timestamp ch1 ch2 ch3 ambient
653329271494157824 -43121 -66372 -56776 -350308
653329271501596160 -43271 -66553 -56759 -350334
653329271509034496 -42088 -65456 -55741 -349211
653329271516472832 -42731 -66091 -56324 -349742
653329271523911168 -43133 -66396 -56687 -350114
653329271531349504 -43172 -66621 -56873 -350337
653329271538787840 -42178 -66656 -56787 -350096
653329271546226176 -42691 -66626 -56840 -350195
653329271553664512 -43100 -66629 -57014 -350256
653329271561102848 -43288 -66660 -57038 -350315
653329271568541184 -43282 -66735 -56899 -350208
653329271575979520 -43261 -66730 -57034 -350242
653329271583417856 -43351 -66768 -57084 -350255
653329271590856192 -43291 -66680 -56929 -350250
653329271598294528 -43293 -66751 -57010 -350274
653329271605732864 -43249 -66756 -57123 -350309
653329271613171200 -43298 -66742 -57204 -350298
653329271620609536 -43283 -66626 -57120 -350246
653329271628109769 -43576 -66463 -56881 -350254
653329271635544464 -43472 -66715 -57150 -350272
653329271642979159 -43529 -66770 -57190 -350276
653329271650413854 -43410 -66763 -57272 -350316
653329271657848549 -43310 -66667 -57006 -350101
653329271665283244 -43299 -66749 -57102 -350236
653329271672717939 -43428 -66742 -57200 -350300
653329271680152634 -43386 -66787 -57124 -350262
653329271687587329 -43383 -66701 -57234 -350206
653329271695022024 -43406 -66863 -57353 -350223
653329271702456719 -43362 -66847 -57382 -350294
653329271709891414 -43265 -66658 -57367 -350189
653329271717326109 -43372 -66647 -57215 -350277
653329271724760804 -43480 -66783 -57296 -350299
653329271732195499 -43387 -66803 -57149 -350310
653329271739630194 -43404 -66702 -57298 -350224
653329271747064889 -43464 -66823 -57214 -350263
653329271754499584 -43405 -66786 -57235 -350239
653329271761934281 -43325 -66470 -57224 -350185
653329271769368976 -43358 -66627 -57292 -350306
653329271776803671 -43285 -66703 -57217 -350274
653329271784238366 -43295 -66661 -57214 -350320
653329271791673061 -43216 -66719 -57181 -350331
653329271799107756 -43206 -65540 -56051 -350267
653329271806542451 -43342 -66130 -56662 -350255
653329271813977146 -43270 -66442 -57000 -350288
653329271821411841 -43328 -66577 -57120 -350214
653329271828846536 -42151 -65528 -56004 -349115
653329271836281231 -42793 -66174 -56690 -349787
653329271843715926 -43258 -66564 -57020 -350138
653329271851150621 -43193 -66679 -57202 -350215
653329271858585316 -42087 -66571 -57222 -350038
653329271866020011 -42789 -66652 -57277 -350194
653329271873454706 -43012 -66806 -57216 -350224
653329271880889401 -43186 -66659 -57264 -350281
653329271888324096 -43192 -66666 -57226 -350313
653329271895758793 -43429 -66618 -57479 -350242
653329271903193488 -43302 -66704 -57321 -350325
653329271910628183 -43423 -66673 -57213 -350333
653329271918062878 -43227 -66759 -57140 -350282
653329271925497573 -43261 -66739 -57239 -350323
653329271932932268 -43186 -66761 -57338 -350418
653329271940366963 -43240 -66697 -57240 -350344
653329271947801658 -43159 -66369 -57154 -350145
653329271955236353 -43199 -66529 -57223 -350228
653329271962671048 -43167 -66509 -57226 -350279
653329271970105743 -43190 -66473 -57289 -350169
653329271977540438 -43044 -66378 -57100 -350058
653329271984975133 -43197 -66518 -57215 -350263
653329271992409828 -43241 -66520 -57284 -350274
653329271999844523 -43149 -66707 -57291 -350177
653329272007279218 -43293 -66620 -57242 -350155
653329272014713913 -43283 -66674 -57320 -350249
653329272022148608 -43217 -66679 -57367 -350170
653329272029583305 -43104 -66330 -57181 -350139
653329272037018000 -43175 -66553 -57241 -350249
653329272044452695 -43196 -66691 -57438 -350284
653329272051887390 -43278 -66726 -57592 -350342
653329272059322085 -43368 -66738 -57379 -350259
653329272066756780 -43492 -66844 -57499 -350311
653329272074191475 -43415 -66912 -57528 -350270
653329272081626170 -43488 -66905 -57638 -350333
653329272089060865 -43441 -67020 -57505 -350180
653329272096495560 -43538 -66992 -57603 -350274
653329272103930255 -43501 -67138 -57659 -350322
653329272111364950 -43453 -66990 -57684 -350240
653329272118799645 -43513 -65981 -56612 -350167
653329272126234340 -43403 -66627 -57192 -350198
653329272133669035 -43514 -66922 -57396 -350270
653329272141103730 -43519 -67005 -57469 -350238
653329272148538425 -42562 -66019 -56592 -349159
653329272155973120 -43148 -66642 -57224 -349858
653329272163469714 -43479 -66865 -57472 -350152
653329272170900768 -43503 -66959 -57683 -350205
653329272178331822 -42547 -67024 -57720 -350169
653329272185762876 -43141 -67248 -57899 -350232
653329272193193930 -43464 -67256 -57836 -350321
653329272200624984 -43643 -67351 -57917 -350306
653329272208056038 -43611 -67169 -57944 -350246
653329272215487092 -43669 -67284 -57952 -350282
653329272222918146 -43796 -67333 -57934 -350364
653329272230349200 -43617 -67252 -58008 -350245
653329272237780254 -43592 -67233 -57995 -350273
653329272245211308 -43703 -67256 -57943 -350323
653329272252642362 -43814 -67195 -57984 -350316
653329272260073416 -43890 -67272 -58053 -350316
653329272267504470 -43723 -67127 -57874 -350070
653329272274935524 -43770 -67455 -58015 -350316
653329272282366578 -43830 -67559 -58005 -350262
653329272289797632 -43800 -67449 -58029 -350233
653329272297043016 -43790 -67490 -57967 -350341
653329272304484992 -43775 -67558 -58114 -350304
