timestamp,ch1,ch2,ch3
653328730738632192,-45459,-77702,-68553
653328730746070528,-45812,-77791,-68752
653328730753508864,-46032,-77945,-68861
653328730760947200,-46167,-78066,-69028
653328730768385536,-46268,-78070,-69108
653328730775823872,-46336,-78154,-69402
653328730783262208,-46432,-78218,-69434
653328730790700544,-46557,-78373,-69653
653328730798138880,-46590,-78551,-69744
653328730805577216,-46848,-78528,-69887
653328730813015552,-46811,-78431,-69818
653328730820453888,-46886,-78519,-69912
653328730827892224,-46949,-78644,-70129
653328730835330560,-47195,-78852,-70250
653328730842768896,-46994,-78709,-70332
653328730850207232,-47279,-78835,-70598
653328730857645568,-47216,-78866,-70679
653328730865083904,-47386,-79025,-70808
653328730872584137,-47363,-79065,-71012
653328730880018832,-47483,-79143,-70978
653328730887453527,-47570,-79119,-71131
653328730894888222,-47647,-79153,-71330
653328730902322917,-47646,-79177,-71450
653328730909757612,-47594,-79275,-71362
653328730917192307,-47616,-79374,-71351
653328730924627002,-47774,-79375,-71539
653328730932061697,-47670,-79321,-71437
653328730939496392,-47699,-79330,-71696
653328730946931087,-47679,-79349,-71584
653328730954365782,-47754,-79312,-71616
653328730961800477,-47820,-79450,-71817
653328730969235172,-47967,-79466,-71940
653328730976669867,-48121,-79641,-72155
653328730984104562,-48262,-78935,-72242
653328730991539257,-48217,-79408,-72301
653328730998973952,-48335,-79692,-72370
653328731006377709,-48393,-79800,-72615
653328731013814224,-46983,-78383,-71129
653328731021250739,-48000,-79430,-72009
653328731028687254,-48404,-79838,-72484
653328731036123769,-48636,-80154,-72673
653328731043560284,-47351,-80302,-71640
653328731050996799,-48406,-80389,-72487
653328731058433314,-48759,-80421,-72882
653328731065869829,-48912,-80430,-73098
653328731073306344,-49136,-80617,-73094
653328731080742859,-49156,-80616,-73229
653328731088179374,-49337,-80701,-73305
653328731095615889,-49467,-80945,-73406
653328731103052404,-49479,-80797,-73539
653328731110488919,-49572,-80916,-73556
653328731117925434,-49774,-80840,-73697
653328731125361949,-49823,-80989,-73760
653328731132798464,-49867,-80808,-73771
653328731140234989,-49665,-80837,-74021
653328731147671504,-49923,-81007,-74103
653328731155108019,-49976,-81126,-74112
653328731162544534,-49880,-81072,-73935
653328731169981049,-50065,-81042,-73990
653328731177417564,-50228,-81231,-74124
653328731184854079,-50258,-81405,-74337
653328731192290594,-50105,-81393,-74282
653328731199727109,-50384,-81459,-74351
653328731207163624,-50588,-81529,-74580
653328731214600139,-50793,-81512,-74715
653328731222036654,-50647,-81504,-74566
653328731229473169,-50647,-81499,-74646
653328731236909684,-50716,-81648,-74677
653328731244346199,-50888,-81736,-74750
653328731251782714,-50988,-81845,-74660
653328731259219229,-50891,-81763,-74576
653328731266655744,-50940,-81755,-74734
653328731274123209,-50702,-82088,-74861
653328731281557904,-50968,-81904,-74864
653328731288992599,-51127,-81910,-74898
653328731296427294,-51161,-81915,-74960
653328731303861989,-51133,-81798,-75043
653328731311296684,-51160,-81900,-75024
653328731318731379,-51224,-82003,-75002
653328731326166074,-51217,-82010,-75050
653328731333600769,-50238,-80557,-73653
653328731341035464,-50890,-81533,-74577
653328731348470159,-51270,-81885,-74982
653328731355904854,-51409,-82111,-75214
653328731363339549,-50087,-82315,-73796
653328731370774244,-51007,-82352,-74716
653328731378208939,-51371,-82416,-75013
653328731385643634,-51695,-82568,-75253
653328731393078329,-51900,-82678,-75388
653328731400513024,-51840,-82595,-75426
653328731407916781,-51631,-82479,-75538
653328731415353296,-51849,-82747,-75608
653328731422789811,-52013,-82639,-75733
653328731430226326,-51994,-82647,-75627
653328731437662841,-51932,-82666,-75646
653328731445099356,-52087,-82913,-75781
653328731452535871,-52203,-82811,-75801
653328731459972386,-52187,-82818,-75838
653328731467408901,-52174,-82843,-75855
653328731474845416,-52322,-82903,-76051
653328731482281931,-52249,-82877,-75866
653328731489718446,-52350,-82893,-75908
653328731497154961,-52375,-82953,-75963
653328731504591476,-52599,-83114,-76195
653328731512027991,-52456,-83169,-75995
653328731519464506,-52532,-83117,-76109
653328731526901021,-52586,-83060,-76236
653328731534337536,-52655,-83123,-76359
653328731541805001,-52411,-82961,-76452
653328731549239696,-52659,-83231,-76303
653328731556674391,-52701,-83260,-76349
653328731564109086,-52904,-83270,-76379
653328731571543781,-52924,-83216,-76487
653328731578978476,-52910,-83332,-76433
653328731586413171,-52966,-83305,-76536
653328731593847866,-52939,-83217,-76523
653328731601282561,-52957,-83185,-76475
653328731608717256,-52846,-83378,-76292
653328731616151951,-52891,-83458,-76331
653328731623586646,-53002,-83341,-76381
653328731631021341,-53001,-83286,-76395
653328731638456036,-53013,-83342,-76303
653328731645890731,-53027,-83316,-76293
653328731653325426,-52993,-81855,-74827
653328731660760121,-52955,-82677,-75683
653328731668194816,-53009,-83034,-76052
653328731675598573,-53231,-83229,-76141
653328731683035088,-51693,-82224,-74585
653328731690471603,-52454,-82896,-75422
653328731697908118,-52813,-83101,-75871
653328731705344633,-52972,-83277,-75987
653328731712781148,-52948,-83470,-76059
653328731720217663,-52937,-83415,-76130
653328731727654178,-53018,-83484,-76164
653328731735090693,-52976,-83398,-76129
653328731742527208,-53013,-83307,-76202
653328731749963723,-53060,-83323,-76115
653328731757400238,-52983,-83280,-76034
653328731764836753,-52984,-83240,-76099
653328731772273268,-53039,-83268,-75979
653328731779709783,-52977,-83255,-76037
653328731787146298,-53114,-83200,-76013
653328731794582813,-53023,-83238,-75944
653328731802019328,-53113,-83075,-75950
653328731809486793,-53222,-83020,-75962
653328731816921488,-53153,-83225,-75983
653328731824356183,-53410,-83312,-76260
653328731831790878,-53211,-83355,-76190
653328731839225573,-53507,-83445,-76445
653328731846660268,-53558,-83592,-76609
653328731854094963,-53723,-83648,-76828
653328731861529658,-53771,-83696,-76825
653328731868964353,-53899,-83752,-77061
653328731876399048,-54014,-83882,-77058
