timestamp,ch1,ch2,ch3
653323453953165769,565237,475307,517964
653323453960600464,565314,475287,517927
653323453968035159,565352,475438,518047
653323453975469854,565445,475453,518107
653323453982904549,565563,475491,518197
653323453990339244,565441,475549,518143
653323453997773939,565553,475475,518249
653323454005208634,565457,475554,518484
653323454012643329,565575,475664,518569
653323454020078024,565711,475770,518517
653323454027512719,565795,475781,518602
653323454034947414,565826,475917,518728
653323454042382109,565971,475828,518724
653323454049816804,566015,475881,518858
653323454057251499,566222,475902,518915
653323454064686194,566444,476031,519084
653323454072120889,566477,475994,519098
653323454079555584,566425,476062,519177
653323454086897444,566364,476301,519328
653323454094337600,566629,476223,519399
653323454101777756,566754,476293,519434
653323454109217912,566929,476380,519650
653323454116658068,567006,476397,519733
653323454124098224,567187,476459,519833
653323454131538380,567169,476436,519835
653323454138978536,567410,476436,520042
653323454146418692,567544,476562,520088
653323454153858848,567691,476852,520244
653323454161299004,567764,476685,520222
653323454168739160,567800,476767,520425
653323454176179316,567909,476935,520466
653323454183619472,567946,476851,520374
653323454191059628,567834,476867,520547
653323454198499784,567871,476771,520444
653323454205939940,567832,476785,520409
653323454213380096,567799,476698,520266
653323454220882157,567456,476774,520262
653323454228318672,567356,476512,519935
653323454235755187,567146,476444,519786
653323454243191702,566885,476241,519472
653323454250628217,566596,475987,519235
653323454258064732,566414,475795,519208
653323454265501247,566195,475746,518949
653323454272937762,566004,475596,518880
653323454280374277,565783,475519,518684
653323454287810792,565660,475330,518487
653323454295247307,565322,475287,518192
653323454302683822,565254,475209,518044
653323454310120337,564912,474892,517847
653323454317556852,564748,474889,517780
653323454324993367,564640,474768,517476
653323454332429882,564505,474747,517272
653323454339866397,564158,474515,516952
653323454347302912,563901,474428,516906
653323454354739437,563420,474186,516723
653323454362175952,563490,474128,516552
653323454369612467,563228,474133,516232
653323454377048982,563096,474054,516194
653323454384485497,562992,473996,516050
653323454391922012,562945,473752,515857
653323454399358527,562653,473543,515651
653323454406795042,562533,473606,515649
653323454414231557,562343,473624,515580
653323454421668072,562306,473450,515494
653323454429104587,562305,473506,515319
653323454436541102,562381,473418,515323
653323454443977617,562160,473253,515159
653323454451414132,562107,473327,515165
653323454458850647,561991,473394,515079
653323454466287162,562060,473390,515137
653323454473723677,562025,473335,514965
653323454481160192,561777,473163,514802
653323454488565760,561448,472842,514624
653323454496004096,561547,473047,514694
653323454503442432,561456,473079,514572
653323454510880768,561371,472934,514543
653323454518319104,561392,472949,514483
653323454525757440,561398,473000,514623
653323454533195776,561375,473012,514457
653323454540634112,561390,473110,514494
653323454548072448,561271,473076,514477
653323454555510784,561308,472961,514469
653323454562949120,561369,472913,514443
653323454570387456,561349,472938,514462
653323454577825792,561383,472978,514405
653323454585264128,561186,472895,514418
653323454592702464,561135,472985,514463
653323454600140800,561179,473034,514469
653323454607579136,561180,472996,514508
653323454615017472,561219,473089,514479
653323454622455808,561384,473215,514297
653323454629894144,561392,473200,514456
653323454637332480,561584,473169,514498
653323454644770816,561585,473237,514732
653323454652209152,561637,473161,514602
653323454659647488,561688,473031,514728
653323454667085824,561616,473146,514705
653323454674524160,561766,473332,514995
653323454681962496,561760,473401,514990
653323454689400832,561939,473482,515015
653323454696839168,562083,473504,515187
653323454704277504,562092,473435,515152
653323454711715840,562051,473350,515108
653323454719154176,562087,473465,515166
653323454726592512,562248,473498,515350
653323454734030848,562228,473490,515376
653323454741469184,562384,473686,515481
653323454748907520,562491,473542,515597
653323454756407753,562656,473703,515620
653323454763842448,562742,473659,515740
653323454771277143,562797,473639,515638
653323454778711838,562913,473634,515821
653323454786146533,562986,473887,515862
653323454793581228,562943,473974,515898
653323454801015923,563060,473869,515880
653323454808450618,563252,474017,516130
653323454815885313,563171,473977,516200
653323454823320008,563323,474067,516217
653323454830754703,563423,474159,516254
653323454838189398,563448,474254,516305
653323454845624093,563680,474333,516346
653323454853058788,563782,474383,516523
653323454860493483,563875,474372,516555
653323454867928178,563957,474322,516628
653323454875362873,564048,474498,516763
653323454882797568,564234,474537,516831
653323454890232265,564335,474510,516650
653323454897666960,564419,474661,517004
653323454905101655,564397,474679,517118
653323454912536350,564583,474851,517242
653323454919971045,564677,474955,517273
653323454927405740,564770,474964,517330
653323454934840435,564751,475149,517451
653323454942275130,564786,475152,517527
653323454949709825,564825,475207,517541
653323454957144520,564831,475032,517492
653323454964579215,564875,474990,517502
653323454972013910,564779,475000,517422
653323454979448605,564618,474871,517258
653323454986883300,564506,474805,517213
653323454994317995,564368,474786,517031
653323455001752690,564325,474542,516895
653323455009187385,564261,474376,516589
653323455016622080,563876,474221,516435
653323455023963940,563480,474243,516509
653323455031404096,563440,474103,516128
653323455038844252,563274,473977,515837
653323455046284408,563257,473900,515794
653323455053724564,563091,473838,515613
653323455061164720,562895,473672,515414
653323455068604876,562716,473632,515273
653323455076045032,562560,473536,515131
653323455083485188,562482,473506,515048
653323455090925344,562136,473378,514814
653323455098365500,562076,473219,514639
653323455105805656,561996,473156,514680
653323455113245812,561793,473054,514449
653323455120685968,561711,473061,514345
653323455128126124,561603,473034,514181
653323455135566280,561554,472798,514096
653323455143006436,561323,472774,513948
653323455150446592,561289,472825,513849
653323455157948653,560992,472827,513778
653323455165385168,560973,472626,513670
653323455172821683,560799,472638,513535
653323455180258198,560901,472571,513489
653323455187694713,560831,472583,513410
653323455195131228,560876,472523,513428
653323455202567743,560833,472521,513422
653323455210004258,560844,472522,513368
653323455217440773,560859,472471,513387
653323455224877288,560818,472354,513350
653323455232313803,560922,472339,513351
653323455239750318,560786,472571,513330
653323455247186833,560791,472616,513305
653323455254623348,560671,472694,513331
653323455262059863,560742,472586,513323
653323455269496378,560830,472683,513338
653323455276932893,560813,472519,513388
653323455284369408,560834,472602,513336
653323455291805933,560970,472814,513395
653323455299242448,560993,472679,513475
653323455306678963,560917,472657,513338
653323455314115478,560940,472581,513312
653323455321551993,560786,472688,513493
653323455328988508,560790,472619,513527
653323455336425023,561007,472668,513496
653323455343861538,561098,472721,513612
653323455351298053,561094,472711,513537
653323455358734568,561161,472845,513627
653323455366171083,561128,472913,513583
653323455373607598,561237,472956,513635
653323455381044113,561251,472813,513621
653323455388480628,561343,472787,513701
653323455395917143,561347,472895,513712
653323455403353658,561366,472907,513835
653323455410790173,561486,472893,513936
653323455418226688,561483,472882,513899
653323455425663213,561692,472772,513760
653323455433099728,561633,473047,513947
653323455440536243,561746,473150,514061
653323455447972758,561897,473200,514227
653323455455409273,561964,473218,514227
653323455462845788,561977,473231,514280
653323455470282303,562178,473317,514398
653323455477718818,562141,473400,514347
653323455485155333,562270,473420,514487
653323455492591848,562385,473416,514667
653323455500028363,562324,473417,514625
653323455507464878,562468,473433,514707
653323455514901393,562704,473442,514767
653323455522337908,562642,473652,514858
