timestamp,ch1,ch2,ch3
653329271494157824,-43121,-66372,-56776
653329271501596160,-43271,-66553,-56759
653329271509034496,-42088,-65456,-55741
653329271516472832,-42731,-66091,-56324
653329271523911168,-43133,-66396,-56687
653329271531349504,-43172,-66621,-56873
653329271538787840,-42178,-66656,-56787
653329271546226176,-42691,-66626,-56840
653329271553664512,-43100,-66629,-57014
653329271561102848,-43288,-66660,-57038
653329271568541184,-43282,-66735,-56899
653329271575979520,-43261,-66730,-57034
653329271583417856,-43351,-66768,-57084
653329271590856192,-43291,-66680,-56929
653329271598294528,-43293,-66751,-57010
653329271605732864,-43249,-66756,-57123
653329271613171200,-43298,-66742,-57204
653329271620609536,-43283,-66626,-57120
653329271628109769,-43576,-66463,-56881
653329271635544464,-43472,-66715,-57150
653329271642979159,-43529,-66770,-57190
653329271650413854,-43410,-66763,-57272
653329271657848549,-43310,-66667,-57006
653329271665283244,-43299,-66749,-57102
653329271672717939,-43428,-66742,-57200
653329271680152634,-43386,-66787,-57124
653329271687587329,-43383,-66701,-57234
653329271695022024,-43406,-66863,-57353
653329271702456719,-43362,-66847,-57382
653329271709891414,-43265,-66658,-57367
653329271717326109,-43372,-66647,-57215
653329271724760804,-43480,-66783,-57296
653329271732195499,-43387,-66803,-57149
653329271739630194,-43404,-66702,-57298
653329271747064889,-43464,-66823,-57214
653329271754499584,-43405,-66786,-57235
653329271761934281,-43325,-66470,-57224
653329271769368976,-43358,-66627,-57292
653329271776803671,-43285,-66703,-57217
653329271784238366,-43295,-66661,-57214
653329271791673061,-43216,-66719,-57181
653329271799107756,-43206,-65540,-56051
653329271806542451,-43342,-66130,-56662
653329271813977146,-43270,-66442,-57000
653329271821411841,-43328,-66577,-57120
653329271828846536,-42151,-65528,-56004
653329271836281231,-42793,-66174,-56690
653329271843715926,-43258,-66564,-57020
653329271851150621,-43193,-66679,-57202
653329271858585316,-42087,-66571,-57222
653329271866020011,-42789,-66652,-57277
653329271873454706,-43012,-66806,-57216
653329271880889401,-43186,-66659,-57264
653329271888324096,-43192,-66666,-57226
653329271895758793,-43429,-66618,-57479
653329271903193488,-43302,-66704,-57321
653329271910628183,-43423,-66673,-57213
653329271918062878,-43227,-66759,-57140
653329271925497573,-43261,-66739,-57239
653329271932932268,-43186,-66761,-57338
653329271940366963,-43240,-66697,-57240
653329271947801658,-43159,-66369,-57154
653329271955236353,-43199,-66529,-57223
653329271962671048,-43167,-66509,-57226
653329271970105743,-43190,-66473,-57289
653329271977540438,-43044,-66378,-57100
653329271984975133,-43197,-66518,-57215
653329271992409828,-43241,-66520,-57284
653329271999844523,-43149,-66707,-57291
653329272007279218,-43293,-66620,-57242
653329272014713913,-43283,-66674,-57320
653329272022148608,-43217,-66679,-57367
653329272029583305,-43104,-66330,-57181
6.53329E+17,-43175,-66553,-57241
653329272044452695,-43196,-66691,-57438
653329272051887390,-43278,-66726,-57592
653329272059322085,-43368,-66738,-57379
653329272066756780,-43492,-66844,-57499
653329272074191475,-43415,-66912,-57528
653329272081626170,-43488,-66905,-57638
653329272089060865,-43441,-67020,-57505
653329272096495560,-43538,-66992,-57603
653329272103930255,-43501,-67138,-57659
