timestamp ecg,
653329807548303335,14133
653329807555980284,14091
653329807563657233,14035
653329807571334182,13926
653329807579011131,13831
653329807586688080,13795
653329807594365029,13751
653329807602041978,13695
653329807609718927,13632
653329807617395876,13547
653329807625072825,13445
653329807632749774,13360
653329807640426723,13295
653329807648103672,13222
653329807655780621,13137
653329807663457570,13054
653329807671134519,12967
653329807678811468,12899
653329807686488417,12848
653329807694165366,12743
653329807701842315,12617
653329807709519264,12537
653329807717196213,12464
653329807724873162,12371
653329807732550111,12284
653329807740227060,12211
653329807747904009,12131
653329807755580958,12022
653329807763257907,11915
653329807770934856,11822
653329807778611805,11742
653329807786288754,11674
653329807793965703,11592
653329807801642652,11477
653329807809319601,11373
653329807816996550,11293
653329807824673499,11220
653329807832350448,11133
653329807840027397,11030
653329807847704346,10933
653329807855381295,10856
653329807863058244,10773
653329807870735193,10666
653329807878412142,10557
653329807886089091,10479
653329807893766040,10401
653329807901442989,10297
653329807909119938,10190
653329807916796887,10086
653329807924473836,10018
653329807932150785,10112
653329807939827734,10358
653329807947504683,10479
653329807955181632,10132
653329807962858581,9512
653329807970535530,9296
653329807978212479,9427
653329807985889428,9366
653329807993566377,9179
653329808001243326,9099
653329808008920275,9043
653329808016597224,8944
653329808024274173,8866
653329808031951122,8808
653329808039628071,8723
653329808047305020,8633
653329808054981969,8572
653329808062658918,8502
653329808070335867,8395
653329808078012816,8305
653329808085689765,8242
653329808093366714,8169
653329808101043663,8094
653329808108705580,8030
653329808116382738,7960
653329808124059896,7885
653329808131737054,7824
653329808139414212,7775
653329808147091370,7715
653329808154768528,7651
653329808162445686,7610
653329808170122844,7571
653329808177800002,7515
653329808185477160,7430
653329808193154318,7324
653329808200831476,7241
653329808208508634,7163
653329808216185792,7030
653329808223862950,6879
653329808231540108,6777
653329808239217266,6677
653329808246894424,6549
653329808254571582,6454
653329808262248740,6383
653329808269925898,6301
653329808277603056,6238
653329808285280214,6179
653329808292957372,6104
653329808300634530,6041
653329808308311688,5992
653329808315988846,5932
653329808323666004,5868
653329808331343162,5808
653329808339020320,5749
653329808346697478,5698
653329808354374636,5650
653329808362051794,5589
653329808369728952,5526
653329808377406110,5475
653329808385083268,5421
653329808392760426,5361
653329808400437584,5300
653329808408114742,5244
653329808415791900,5193
653329808423469058,5140
653329808431146216,5079
653329808438823374,5021
653329808446500532,4967
653329808454177690,4916
653329808461854848,4860
653329808469532006,4807
653329808477209164,4761
653329808484886322,4717
653329808492563480,4651
653329808500240638,4586
653329808507917796,4542
653329808515594954,4496
653329808523272112,4445
653329808530949270,4401
653329808538626428,4353
653329808546303586,4299
653329808553980744,4255
653329808561657902,4221
653329808569335060,4185
653329808577012218,4132
653329808584689376,4078
653329808592366534,4032
653329808600043692,3976
653329808607720850,3920
653329808615398008,3884
653329808623075166,3845
653329808630752324,3801
653329808638429482,3757
653329808646106640,3702
653329808653783798,3641
653329808661460956,3719
653329808669138131,4003
653329808676815289,4282
653329808684492447,4151
653329808692169605,3570
653329808699846763,3208
653329808707523921,3349
653329808715201079,3413
653329808722878237,3259
653329808730555395,3221
653329808738232553,3230
653329808745909711,3160
653329808753586869,3114
653329808761264027,3104
653329808768941185,3070
653329808776618343,3036
653329808784295501,3019
653329808791972659,2992
653329808799649817,2961
653329808807326975,2936
653329808815004133,2907
653329808822681291,2876
653329808830358449,2859
653329808838035607,2837
653329808845712765,2808
653329808853389923,2783
653329808861067081,2774
653329808868744239,2766
653329808876421397,2757
653329808884098555,2742
653329808891775713,2725
653329808899452871,2713
653329808907130029,2698
653329808914807187,2669
653329808922484345,2642
653329808930161503,2613
653329808937838661,2570
653329808945515819,2502
653329808953192977,2409
653329808960870135,2317
653329808968547293,2249
653329808976224451,2191
653329808983901609,2132
653329808991578767,2096
653329808999255925,2069
653329809006933083,2042
653329809014610241,2023
653329809022287399,2013
653329809029964557,1994
653329809037641715,1970
653329809045318873,1955
653329809052996031,1933
653329809060673189,1909
653329809068350347,1889
653329809076027505,1870
653329809083704663,1843
653329809091381821,1826
653329809099058979,1812
653329809106736137,1792
653329809114413295,1775
653329809122090453,1756
653329809129767611,1734
653329809137444769,1712
653329809145121927,1698
653329809152799085,1685
653329809160476243,1661
653329809168153401,1639
653329809175830559,1620
653329809183507717,1600
653329809191184875,1576
653329809198862033,1557
653329809206539191,1535
653329809214216349,1513
653329809221893507,1486
653329809229585732,1455
653329809237262681,1428
653329809244939630,1416
653329809252616579,1401
653329809260293528,1382
653329809267970477,1365
653329809275647426,1345
653329809283324375,1328
653329809291001324,1316
653329809298678273,1294
653329809306355222,1265
653329809314032171,1248
653329809321709120,1246
653329809329386069,1246
653329809337063018,1243
653329809344739967,1238
653329809352416916,1241
653329809360093865,1226
653329809367770814,1195
653329809375447763,1178
653329809383124712,1183
653329809390801661,1180
653329809398478610,1173
653329809406155559,1161
653329809413832508,1134
653329809421509457,1127
653329809429186406,1292
653329809436863355,1639
653329809444540304,1877
653329809452217253,1622
653329809459894202,1049
653329809467571151,872
653329809475248100,1078
653329809482925049,1085
653329809490601998,971
653329809498278947,995
653329809505955896,1015
653329809513632845,974
653329809521309794,966
653329809528986743,981
653329809536663692,976
653329809544340641,964
653329809552017590,957
653329809559694539,952
653329809567371488,952
653329809575048437,937
653329809582725386,918
653329809590402335,913
653329809598079284,918
653329809605756233,913
653329809613433182,913
653329809621110131,920
653329809628787080,930
653329809636464029,940
653329809644140978,949
653329809651817927,961
653329809659494876,976
653329809667171825,991
653329809674848774,998
653329809682525723,1000
653329809690202672,995
653329809697879621,978
653329809705556570,947
653329809713233519,891
653329809720910468,818
653329809728587417,755
653329809736264366,704
653329809743941315,665
653329809751618264,636
653329809759295213,619
653329809766972162,614
653329809774649111,612
653329809782326060,607
653329809790003025,602
653329809797679974,600
653329809805356923,604
653329809813033872,607
653329809820710821,597
653329809828387770,583
653329809836064719,578
653329809843741668,583
653329809851418617,583
653329809859095566,575
653329809866772515,573
653329809874449464,573
653329809882126413,570
653329809889803362,568
653329809897480311,563
653329809905157260,558
653329809912834209,556
653329809920511158,551
653329809928188107,541
653329809935865056,536
653329809943542005,534
653329809951218954,527
653329809958895903,514
653329809966572852,505
653329809974249801,505
653329809981926750,502
653329809989603699,502
653329809997280648,500
653329810004957597,493
653329810012634546,488
653329810020311495,488
653329810027988444,488
653329810035665393,478
653329810043342342,473
653329810051019291,473
653329810058696240,471
653329810066373189,468
653329810074050138,463
653329810081727087,449
653329810089404036,439
653329810097080985,442
653329810104757934,439
653329810112434883,429
653329810120111832,427
653329810127788781,429
653329810135465730,437
653329810143142679,439
653329810150819628,437
653329810158496577,439
653329810166173526,432
653329810173850475,410
653329810181527424,400
653329810189204373,405
653329810196881322,403
653329810204558271,388
653329810212235220,381
653329810219912169,369
653329810227589118,357
653329810235266067,451
653329810242943016,743
653329810250619965,1068
653329810258296914,1025
653329810265973863,497
653329810273650812,126
653329810281327761,272
653329810289004710,393
653329810296681659,286
653329810304358608,274
653329810312035557,330
653329810319712506,310
653329810327389455,296
653329810335066404,318
653329810342743353,323
653329810350420318,318
653329810358097267,325
653329810365774216,332
653329810373451165,335
653329810381128114,332
653329810388805063,327
653329810396482012,335
653329810404158961,344
653329810411835910,349
653329810419512859,354
653329810427189808,361
653329810434866757,374
653329810442543706,391
653329810450220655,400
653329810457897604,412
653329810465574553,429
653329810473251502,444
653329810480928451,456
653329810488605400,468
653329810496282349,468
653329810503959298,466
653329810511636247,451
653329810519313196,410
653329810526990145,349
653329810534667094,291
653329810542344043,242
653329810550020992,201
653329810557697941,172
653329810565374890,157
653329810573051839,150
653329810580728788,150
653329810588405737,148
653329810596082686,140
653329810603759635,148
653329810611436584,160
653329810619113533,165
653329810626790482,172
653329810634467431,179
653329810642144380,187
653329810649821329,187
653329810657498278,191
653329810665175227,194
653329810672852176,194
653329810680529125,196
653329810688206074,201
653329810695883023,196
653329810703559972,189
653329810711236921,189
653329810718913870,196
653329810726590819,196
653329810734267768,194
653329810741944717,194
653329810749621666,194
653329810757298615,194
653329810764975564,196
653329810772652513,196
653329810780329462,194
653329810788006411,194
653329810795683360,196
653329810803360309,196
653329810811037258,194
653329810818714207,196
653329810826391156,201
653329810834068105,191
653329810841745054,184
653329810849422003,182
653329810857098952,184
653329810864775901,184
653329810872452850,182
653329810880129799,179
653329810887806748,177
653329810895483697,179
653329810903160646,179
653329810910837611,174
653329810918514560,172
653329810926191509,172
653329810933868458,167
653329810941545407,162
653329810949222356,160
653329810956899305,160
653329810964576254,162
653329810972253203,153
653329810979930152,145
653329810987607101,153
653329810995284050,160
653329811002960999,170
653329811010637948,165
653329811018314897,138
653329811025991846,126
653329811033668795,138
653329811041345744,145
653329811049022693,140
653329811056699642,148
653329811064376591,145
653329811072053540,116
653329811079730489,167
653329811087407438,432
653329811095084387,784
653329811102761336,855
653329811110438285,412
653329811118115234,-58
653329811125792183,4
653329811133469132,189
653329811141146081,104
653329811148823030,55
653329811156499979,119
653329811164176928,106
653329811171853877,82
653329811179530826,111
653329811187207775,126
653329811194884724,109
653329811202561673,114
653329811210238622,131
653329811217915571,136
653329811225592520,140
653329811233269469,155
653329811240946418,160
653329811248623367,157
653329811256300316,165
653329811263977265,179
653329811271654214,191
653329811279331163,204
653329811287008112,223
653329811294685061,245
653329811302362010,262
653329811310038959,286
653329811317715908,310
653329811325392857,330
653329811333069806,344
653329811340746755,352
653329811348423704,364
653329811356100653,359
653329811363777602,323
653329811371454551,274
653329811379131500,221
653329811386808449,157
653329811394485398,106
653329811402162347,75
653329811409839296,55
653329811417516245,43
653329811425193194,46
653329811432870143,46
653329811440547092,43
653329811448224041,38
653329811455900990,43
653329811463577939,55
653329811471254904,60
653329811478931853,60
653329811486608802,65
653329811494285751,72
653329811501962700,72
653329811509639649,77
653329811517316598,92
653329811524993547,92
653329811532670496,82
653329811540347445,75
653329811548024394,75
653329811555701343,82
653329811563378292,89
653329811571055241,87
653329811578732190,80
653329811586409139,82
653329811594086088,89
653329811601763037,82
653329811609439986,70
653329811617116935,72
653329811624793884,80
653329811632470833,80
653329811640147782,77
653329811647824731,80
653329811655501680,80
653329811663178629,89
653329811670855578,94
653329811678532527,87
653329811686209476,75
653329811693886425,70
653329811701563374,75
653329811709240323,80
653329811716917272,70
653329811724594221,70
653329811732271170,87
653329811739948119,80
653329811747625068,65
653329811755302017,65
653329811762978966,65
653329811770655915,63
653329811778332864,65
653329811786009813,70
653329811793686762,77
653329811801363711,87
653329811809040660,85
653329811816717609,85
653329811824394558,82
653329811832071507,72
653329811839748456,65
653329811847425405,68
653329811855102354,72
653329811862779303,72
653329811870456252,75
653329811878133201,60
653329811885810150,65
653329811893487099,238
653329811901164048,600
653329811908840997,847
653329811916517946,587
653329811924194895,14
653329811931871844,-143
653329811939548793,75
653329811947225742,89
653329811954902691,-2
653329811962579640,36
653329811970256589,65
653329811977933538,38
653329811985610487,48
653329811993287436,60
653329812000964385,63
653329812008641334,77
653329812016318283,89
653329812023995232,89
653329812031672197,89
653329812039349146,97
653329812047026095,106
653329812054703044,116
653329812062379993,121
653329812070056942,131
653329812077733891,143
653329812085410840,160
653329812093087789,174
653329812100764738,179
653329812108441687,187
653329812116118636,216
653329812123795585,245
653329812131472534,259
653329812139149483,267
653329812146826432,279
653329812154503381,289
653329812162180330,286
653329812169857279,267
653329812177534228,218
653329812185211177,155
653329812192888126,102
653329812200565075,51
653329812208242024,9
653329812215918973,-12
653329812223595922,-21
653329812231272871,-26
653329812238949820,-26
653329812246626769,-21
653329812254303718,-14
653329812261980667,-9
653329812269657616,-12
653329812277334565,-4
653329812285011514,7
653329812292688463,12
653329812300365412,19
653329812308042361,24
653329812315719310,26
653329812323396259,31
653329812331073208,38
653329812338750157,43
653329812346427106,48
653329812354104055,46
653329812361781004,46
653329812369457953,51
653329812377134902,55
653329812384811851,53
653329812392488800,51
653329812400165749,51
653329812407842698,53
653329812415519647,53
653329812423196596,46
653329812430873545,38
653329812438550494,41
653329812446227443,41
653329812453904392,36
653329812461581341,36
653329812469258290,41
653329812476935239,41
653329812484612188,34
653329812492289137,26
653329812499966086,24
653329812507643035,31
653329812515319984,34
653329812522996933,31
653329812530673882,36
653329812538350831,36
653329812546027780,34
653329812553704729,34
653329812561381678,36
653329812569058627,36
653329812576735576,36
653329812584412525,38
653329812592089490,38
